Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1010945933704683520,,,0,9,9,0,10,10,1,1,1,0,0,0.004418,127,0.000036,0,9,0,0
__clausewitz__,,,1,0,1,1,0,1,0,0,0,0,0.000053,0,127,0.00004,0,8,0,0.0007
1874599292,,,0,1,1,0,1,1,1,1,1,0,0,0,163,0.000036,0,11,0,0
__investigate__,,,7,0,7,7,0,7,0,0,0,0,0.000001,0,163,0.00018,0,10,0,0.004899
20600333,,,0,2,2,0,2,2,1,1,1,0,0,0.000003,163,0.000036,0,13,0,0
224533772,,,0,8,8,0,8,8,1,1,1,0,0,0.000019,163,0.000036,0,21,0,0
2713992539,,,0,1,1,0,1,1,1,1,1,0,0,0,163,0.000036,0,22,0,0
2799727370,,,0,1,1,0,1,1,1,1,1,0,0,0,163,0.000036,0,23,0,0
733576813243301888,,,0,27,27,0,45,45,1,1,1,0,0,0.00007,163,0.000036,0,45,0,0
968502825851478018,,,0,1,1,0,1,1,1,1,1,0,0,0,163,0.000036,0,46,0,0
1377953852239056897,,,0,3,3,0,3,3,1,1,1,0,0,0.000046,163,0.000036,0,50,0,0
_awatchfuleye_,,,1,0,1,1,0,1,0,0,0,0,0.000001,0,163,0.000047,0,49,0,0.0007
1228732051727228929,,,0,1,1,0,1,1,1,1,1,0,0,0,163,0.000036,0,52,0,0
_c_nazifrei,,,9,0,9,9,0,9,0,0,0,0,0.000005,0,163,0.000147,0,51,0,0.006298
1255978149550133255,,,0,5,5,0,5,5,1,1,1,0,0,0.000034,163,0.000036,0,55,0,0
1313481948598329345,,,0,1,1,0,1,1,1,1,1,0,0,0,163,0.000036,0,56,0,0
1317748628111413248,,,0,6,6,0,8,8,1,1,1,0,0,0.00001,163,0.000036,0,60,0,0
1396749834980311042,,,0,7,7,0,7,7,1,1,1,0,0,0.000009,163,0.000036,0,63,0,0
1415636699875618816,,,0,1,1,0,1,1,1,1,1,0,0,0,163,0.000036,0,64,0,0
221865870,,,0,37,37,0,62,62,1,1,1,0,0,0.000032,163,0.000036,0,97,0,0
3776000483,,,0,10,10,0,12,12,1,1,1,0,0,0.000325,163,0.000036,0,103,0,0
894207135562772481,,,0,44,44,0,56,56,1,1,1,0,0,0.000028,163,0.000036,0,125,0,0
1045240457821933568,,,0,33,33,0,105,105,1,1,1,0,0,0.033952,127,0.000036,0,157,0,0
_dennis_l_,,,1,0,1,1,0,1,0,0,0,0,0.000411,0,127,0.000037,0,156,0,0.0007
2235621204,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000036,1,159,0,0
_electroproject,,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.000067,1,158,0,0.0007
1079033600765501440,,,0,23,23,0,29,29,1,1,1,0,0,0.031673,127,0.000036,0,176,0,0
_federde,,,8,0,8,11,0,11,0,0,0,0,0.001274,0,127,0.000121,0,175,0,0.005598
1302859711398776833,,,0,1,1,0,1,1,1,1,1,0,0,0.000015,127,0.000036,0,177,0,0
1336300304980201472,,,0,1,1,0,2,2,1,1,1,0,0,0.000015,127,0.000036,0,178,0,0
1368517640763871232,,,0,7,7,0,9,9,1,1,1,0,0,0.00514,127,0.000036,0,184,0,0
1371108033271631873,,,0,15,15,0,17,17,1,1,1,0,0,0.009497,127,0.000036,0,195,0,0
628046813,,,0,25,25,0,53,53,1,1,1,0,0,0.029,127,0.000036,0,207,0,0
748150573573210112,,,0,27,27,0,39,39,1,1,1,0,0,0.027078,127,0.000036,0,221,0,0
994515708028604417,,,0,4,4,0,4,4,1,1,1,0,0,0.00286,127,0.000036,0,222,0,0
1001262842,,,0,5,5,0,5,5,1,1,1,0,0,0.007236,127,0.000036,0,224,0,0
_heimatliebe_,,,714,0,714,1375,0,1375,0,0,0,0,0.219541,0,127,0.003538,0,174,0,0.49965
1001919088711688192,,,0,3,3,0,3,3,1,1,1,0,0,0.004963,127,0.000036,0,225,0,0
1003914513773748224,,,0,7,7,0,10,10,1,1,1,0,0,0.014761,127,0.000036,0,229,0,0
1005328983846682624,,,0,2,2,0,2,2,1,1,1,0,0,0.002665,127,0.000036,0,231,0,0
