"Target","Source","n","Weight"
"","20520014",1,1
"","353520385",10,10
"","51878272",1,1
"","935427080",1,1
"__joseph_______","2827337579",1,1
"__joseph_______","2965931889",1,1
"__joseph_______","297466931",1,1
"__joseph_______","3303493505",1,1
"__joseph_______","4045056147",1,1
"__joseph_______","4794903482",1,1
"__sumisu__","1407192332",1,1
"__sumisu__","1599434191",1,1
"__sumisu__","17901962",1,1
"__sumisu__","2626358164",1,1
"__sumisu__","268526149",1,1
"__sumisu__","2821326719",1,1
"__sumisu__","3434673207",1,1
"__sumisu__","37960642",1,1
"__sumisu__","38672293",1,1
"__sumisu__","438064528",1,1
"__sumisu__","460019768",1,1
"__xi__","391894265",1,1
"_12_pm","911304243654676480",1,1
"_accalmie","1012814924",3,3
"_accalmie","111710556",1,1
"_accalmie","1119552912",2,2
"_accalmie","124413197",1,1
"_accalmie","126092315",1,1
"_accalmie","1272409548",1,1
"_accalmie","127826427",1,1
"_accalmie","131892594",1,1
"_accalmie","133396516",1,1
"_accalmie","14615214",1,1
"_accalmie","147919661",3,3
"_accalmie","15232506",1,1
"_accalmie","1588428578",1,1
"_accalmie","16084074",1,1
"_accalmie","16442607",1,1
"_accalmie","1647729878",1,1
"_accalmie","18152146",2,2
"_accalmie","1856766506",1,1
"_accalmie","1908754902",1,1
"_accalmie","19359880",1,1
"_accalmie","19931593",1,1
"_accalmie","22760468",1,1
"_accalmie","230017261",1,1
"_accalmie","2313301800",1,1
"_accalmie","237439292",1,1
"_accalmie","239518436",1,1
"_accalmie","2587186262",1,1
"_accalmie","2603008958",1,1
"_accalmie","2786731038",1,1
"_accalmie","305553063",1,1
"_accalmie","35535998",1,1
"_accalmie","368365239",1,1
"_accalmie","440864529",1,1
"_accalmie","4439809523",1,1
"_accalmie","467773261",1,1
"_accalmie","4704517829",1,1
"_accalmie","470633689",1,1
"_accalmie","48388630",1,1
"_accalmie","496427405",1,1
"_accalmie","513049579",2,2
"_accalmie","54193392",2,2
"_accalmie","558935792",1,1
"_accalmie","596875932",1,1
"_accalmie","65784321",1,1
"_accalmie","708086047310258176",1,1
"_accalmie","74685972",1,1
"_accalmie","754992048634224640",1,1
"_accalmie","77554925",1,1
"_accalmie","783066860",1,1
"_accalmie","78344217",1,1
"_accalmie","815993132835860481",1,1
"_accalmie","883768234952060929",1,1
"_accalmie","903544353104257024",1,1
"_badmachine","183409796",1,1
