"Target","Source","n","Weight"
"_distel_","46919997",1,1
"_donalphonso","1004097176",1,1
"_donalphonso","1032598966804930560",1,1
"_donalphonso","1033306960622481408",1,1
"_donalphonso","104447870",1,1
"_donalphonso","1050993261358272512",1,1
"_donalphonso","1068475492007845888",1,1
"_donalphonso","1083396850114269184",4,4
"_donalphonso","1089611359317311490",1,1
"_donalphonso","1101242380467032064",1,1
"_donalphonso","1102182200630562817",4,4
"_donalphonso","1119303357003370496",1,1
"_donalphonso","1121693965655465984",1,1
"_donalphonso","1130946022379794433",1,1
"_donalphonso","1131370838",2,2
"_donalphonso","1139576122209984514",1,1
"_donalphonso","1141222557045182464",1,1
"_donalphonso","1141981569776791552",1,1
"_donalphonso","1148193391823458304",1,1
"_donalphonso","1169546327006597122",2,2
"_donalphonso","1183266544480071681",1,1
"_donalphonso","1187095128390934529",1,1
"_donalphonso","1190595612",1,1
"_donalphonso","1202286211106295809",1,1
"_donalphonso","1212844360200359936",1,1
"_donalphonso","1235098778165751808",1,1
"_donalphonso","1235292715174289408",1,1
"_donalphonso","1238447220",1,1
"_donalphonso","1241706541998387200",1,1
"_donalphonso","1263781075",1,1
"_donalphonso","1273626541054926848",1,1
"_donalphonso","1300162141572530178",1,1
"_donalphonso","1303662636249296896",1,1
"_donalphonso","1305112962433196036",1,1
"_donalphonso","1317187788",1,1
"_donalphonso","1330574884544671744",1,1
"_donalphonso","1332665748427313152",1,1
"_donalphonso","1340787612265660416",1,1
"_donalphonso","134762042",1,1
"_donalphonso","1351827871770226688",1,1
"_donalphonso","1368192824756346884",1,1
"_donalphonso","1368617634271539204",1,1
"_donalphonso","1372893984427769860",1,1
"_donalphonso","1378803702937575429",1,1
"_donalphonso","1385520235453849600",1,1
"_donalphonso","1388198903355428865",1,1
"_donalphonso","1391703278480670720",1,1
"_donalphonso","1391996224711106563",1,1
"_donalphonso","1395196490709192712",2,2
"_donalphonso","1395677153459638277",2,2
"_donalphonso","1407789846681329670",1,1
"_donalphonso","1415328184829104135",1,1
"_donalphonso","1423955181478326276",1,1
"_donalphonso","1429391542771490818",1,1
"_donalphonso","1434132417414156292",1,1
"_donalphonso","1436257448554377266",1,1
"_donalphonso","1439860744502272000",2,2
"_donalphonso","1450755829",1,1
"_donalphonso","1636270584",1,1
"_donalphonso","16419554",1,1
"_donalphonso","171906069",1,1
"_donalphonso","1734849859",1,1
"_donalphonso","1737187820",1,1
"_donalphonso","1743316638",1,1
"_donalphonso","1833662454",3,3
"_donalphonso","216616578",1,1
"_donalphonso","2178429930",1,1
"_donalphonso","2279790064",1,1
"_donalphonso","2303472063",1,1
"_donalphonso","2317303844",1,1
"_donalphonso","2732847565",1,1
"_donalphonso","2746361571",4,4
"_donalphonso","2873712478",1,1
"_donalphonso","3046113765",1,1
"_donalphonso","314157950",1,1
"_donalphonso","3324535449",1,1
"_donalphonso","3422978644",2,2
"_donalphonso","344892426",1,1
"_donalphonso","3507817877",1,1
"_donalphonso","3522724637",1,1
"_donalphonso","35873178",1,1
"_donalphonso","3852543005",1,1
"_donalphonso","390677950",1,1
"_donalphonso","4210092389",4,4
"_donalphonso","44644329",1,1
"_donalphonso","449686114",1,1
"_donalphonso","4876238733",1,1
"_donalphonso","4891172542",1,1
"_donalphonso","490082077",1,1
"_donalphonso","49410991",1,1
"_donalphonso","52354508",1,1
"_donalphonso","532183962",1,1
"_donalphonso","57049783",1,1
"_donalphonso","587321236",1,1
"_donalphonso","589401723",1,1
"_donalphonso","62330523",1,1
"_donalphonso","68227606",1,1
"_donalphonso","701266015",1,1
"_donalphonso","712699203634466816",1,1
"_donalphonso","758036225194352640",1,1
"_donalphonso","758901789819142144",1,1
"_donalphonso","763642586",1,1
"_donalphonso","78827544",1,1
"_donalphonso","800451050595438592",1,1
"_donalphonso","811232692004069376",4,4
"_donalphonso","816717166900809729",1,1
"_donalphonso","854023669806497793",1,1
"_donalphonso","861828918",1,1
"_donalphonso","8720562",1,1
"_donalphonso","886356787590565889",1,1
"_donalphonso","886677601556869120",1,1
"_donalphonso","897038442957295617",1,1
"_donalphonso","897061382574813185",1,1
"_donalphonso","912278854101798912",1,1
"_donalphonso","937770338213093378",2,2
"_donalphonso","945354510",1,1
"_donalphonso","953594615067828224",1,1
"_donalphonso","971119121189482497",1,1
"_heimatliebe_","1032178829547196416",1,1
"_heimatliebe_","1042058251813232640",1,1
"_heimatliebe_","1047957082945855488",1,1
"_heimatliebe_","105099914",1,1
"_heimatliebe_","1088822559972491270",1,1
"_heimatliebe_","1098534604817027072",1,1
"_heimatliebe_","1126432985690058752",1,1
"_heimatliebe_","1133670687867113472",1,1
"_heimatliebe_","1152976507733708800",1,1
"_heimatliebe_","1155400553918337024",1,1
"_heimatliebe_","1157706127007784964",1,1
"_heimatliebe_","1203950248579739648",1,1
"_heimatliebe_","1219877935131381761",1,1
"_heimatliebe_","1232336954034880515",1,1
"_heimatliebe_","1244606302346776576",1,1
"_heimatliebe_","1258094811535548416",1,1
"_heimatliebe_","1267900400",1,1
"_heimatliebe_","1279051283861778438",1,1
"_heimatliebe_","1291021878837026820",1,1
"_heimatliebe_","1352144865895862273",1,1
"_heimatliebe_","1359412158094843906",1,1
"_heimatliebe_","1366420307964268544",1,1
"_heimatliebe_","1370759722299719683",1,1
"_heimatliebe_","1385658448633909250",1,1
"_heimatliebe_","1395677153459638277",1,1
"_heimatliebe_","1418951454841352199",1,1
"_heimatliebe_","1434092755882553347",1,1
"_heimatliebe_","1435213325303001091",1,1
"_heimatliebe_","15336929",1,1
"_heimatliebe_","2230396460",1,1
"_heimatliebe_","2342141727",1,1
"_heimatliebe_","2962342181",1,1
"_heimatliebe_","2999837297",1,1
"_heimatliebe_","3046358865",1,1
"_heimatliebe_","3131565221",1,1
"_heimatliebe_","411344362",1,1
"_heimatliebe_","4646349136",1,1
"_heimatliebe_","713801690483400705",1,1
"_heimatliebe_","725283922087694336",1,1
"_heimatliebe_","757584921267433472",1,1
"_heimatliebe_","775786933",1,1
"_heimatliebe_","793154670617366529",1,1
"_heimatliebe_","822160841260797952",1,1
"_heimatliebe_","828393838599352320",1,1
"_heimatliebe_","907382831130857472",1,1
"_heimatliebe_","929714437367500800",1,1
"_heimatliebe_","950791303448743938",1,1
"_herryang","455465412",1,1
"_klimanotstand_","64666298",2,2
"_klimanotstand_","922470541956612100",1,1
"_lautes_denken","1012745100508717056",1,1
"_lautes_denken","1054668909452935170",1,1
"_lautes_denken","1078912669",1,1
"_lautes_denken","1093154142632267777",1,1
"_lautes_denken","1116055429333778432",1,1
"_lautes_denken","1149428198725378048",1,1
"_lautes_denken","1153187719",1,1
"_lautes_denken","1164550330107006976",1,1
"_lautes_denken","1169294924812079104",1,1
"_lautes_denken","1206460269435723776",1,1
"_lautes_denken","1226236325826830337",1,1
"_lautes_denken","1250561604938334210",1,1
"_lautes_denken","1254406599956971521",1,1
"_lautes_denken","1264574587536314369",1,1
"_lautes_denken","1331987231570079744",1,1
"_lautes_denken","1346578941692289025",1,1
"_lautes_denken","1352526660697001985",1,1
"_lautes_denken","1367988781",1,1
"_lautes_denken","1375200311485272064",1,1
"_lautes_denken","1386483492",1,1
"_lautes_denken","1388402467021500416",1,1
"_lautes_denken","1388907443841818626",1,1
"_lautes_denken","1430954057913470979",1,1
"_lautes_denken","18366199",1,1
"_lautes_denken","1921143835",1,1
"_lautes_denken","199586582",1,1
"_lautes_denken","225846929",1,1
"_lautes_denken","2331458721",1,1
"_lautes_denken","243119970",1,1
"_lautes_denken","2527125529",1,1
"_lautes_denken","2623765905",1,1
"_lautes_denken","2676799425",1,1
"_lautes_denken","2746463237",1,1
"_lautes_denken","2781410044",1,1
"_lautes_denken","2827183882",1,1
"_lautes_denken","286016105",1,1
"_lautes_denken","2863981125",1,1
"_lautes_denken","2893322937",1,1
"_lautes_denken","2968509015",1,1
"_lautes_denken","3039483418",1,1
"_lautes_denken","309676715",1,1
