Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
375531518,,,0,7,7,0,12,12,1,1,1,0,0,0.000013,25,0.000118,0,7,0,0
____clay___,,,1,0,1,1,0,1,0,0,0,0,0.000001,0,25,0.000127,0,6,0,0.002985
43321709,,,0,2,2,0,2,2,1,1,1,0,0,0.00002,182,0.000118,0,10,0,0
_bundestagswahl,,,3,0,3,3,0,3,0,0,0,0,0.000001,0,182,0.00037,0,9,0,0.008955
556948074,,,0,1,1,0,1,1,1,1,1,0,0,0,182,0.000118,0,11,0,0
737894894040154115,,,0,1,1,0,1,1,1,1,1,0,0,0,182,0.000118,0,12,0,0
129788863,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000118,1,14,0,0
_ebody,,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.000219,1,13,0,0.002985
2308497461,,,0,2,2,0,4,4,1,1,1,0,0,0.001345,102,0.000118,0,17,0,0
_jasper___,,,5,0,5,5,0,5,0,0,0,0,0.002483,0,176,0.000303,0,16,0,0.014925
258081766,,,0,4,4,0,4,4,1,1,1,0,0,0.001559,176,0.000118,0,21,0,0
2600314285,,,0,1,1,0,1,1,1,1,1,0,0,0.000103,176,0.000118,0,22,0,0
2867798695,,,0,4,4,0,4,4,1,1,1,0,0,0.017874,176,0.000118,0,26,0,0
817842489814118401,,,0,10,10,0,12,12,1,1,1,0,0,0.039256,176,0.000118,0,36,0,0
302750390,,,0,3,3,0,3,3,1,1,1,0,0,0.000008,61,0.000118,0,40,0,0
_jennyger_,,,1,0,1,1,0,1,0,0,0,0,0,0,61,0.000152,0,39,0,0.002985
194007666,,,0,3,3,0,3,3,1,1,1,0,0,0.000762,25,0.000118,0,44,0,0
_kraftsebastian,,,6,0,6,6,0,6,0,0,0,0,0.004204,0,25,0.000491,0,43,0,0.01791
426664583,,,0,1,1,0,1,1,1,1,1,0,0,0.000174,25,0.000118,0,45,0,0
463726254,,,0,1,1,0,1,1,1,1,1,0,0,0.000174,25,0.000118,0,46,0,0
70365702,,,0,1,1,0,1,1,1,1,1,0,0,0.000174,25,0.000118,0,47,0,0
825730639194361856,,,0,24,24,0,31,31,1,1,1,0,0,0.100163,176,0.000118,0,65,0,0
90524645,,,0,3,3,0,3,3,1,1,1,0,0,0.000382,25,0.000118,0,67,0,0
1490376331,,,0,4,4,0,4,4,1,1,1,0,0,0.017293,176,0.000118,0,71,0,0
_macmike,,,11,0,11,11,0,11,0,0,0,0,0.021461,0,176,0.000418,0,70,0,0.032836
1534331402,,,0,14,14,0,16,16,1,1,1,0,0,0.07817,176,0.000118,0,79,0,0
244275521,,,0,2,2,0,2,2,1,1,1,0,0,0.023006,176,0.000118,0,80,0,0
2463582956,,,0,6,6,0,6,6,1,1,1,0,0,0.062118,176,0.000118,0,83,0,0
2502606786,,,0,10,10,0,13,13,1,1,1,0,0,0.074158,176,0.000118,0,88,0,0
550804211,,,0,8,8,0,8,8,1,1,1,0,0,0.047567,176,0.000118,0,93,0,0
736796494884442112,,,0,5,5,0,5,5,1,1,1,0,0,0.041015,176,0.000118,0,95,0,0
756881814862569472,,,0,1,1,0,1,1,1,1,1,0,0,0.000886,176,0.000118,0,96,0,0
799471710051438592,,,0,15,15,0,17,17,1,1,1,0,0,0.085193,176,0.000118,0,100,0,0
882700585614659584,,,0,2,2,0,2,2,1,1,1,0,0,0.002776,176,0.000118,0,101,0,0
884887711374508033,,,0,21,21,0,24,24,1,1,1,0,0,0.087647,176,0.000118,0,111,0,0
111875264,,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.000118,2,113,0,0
_mirosu_,,,1,0,1,1,0,1,0,0,0,0,0,0,1,0.000219,2,112,0,0.002985
2677355449,,,0,4,4,0,4,4,1,1,1,0,0,0.00401,256,0.000118,0,117,0,0
_piroska,,,2,0,2,2,0,2,0,0,0,0,0.000166,0,256,0.000194,0,116,0,0.00597
3176482114,,,0,2,2,0,2,2,1,1,1,0,0,0.000007,256,0.000118,0,119,0,0
48115146,,,0,1,1,0,1,1,1,1,1,0,0,0,2,0.000118,3,121,0,0
_sfrebbe,,,1,0,1,1,0,1,0,0,0,0,0,0,2,0.000219,3,120,0,0.002985
259638173,,,0,24,24,0,27,27,1,1,1,0,0,0.111134,176,0.000118,0,130,0,0
0930uhr,,,1,0,1,1,0,1,0,0,0,0,0.004588,0,176,0.000122,0,129,0,0.002985
117711618,,,0,1,1,0,1,1,1,1,1,0,0,0.000068,176,0.000118,0,132,0,0
0ac76cb0aee84f5,,,2,0,2,2,0,2,0,0,0,0,0.001645,0,176,0.000229,0,131,0,0.00597
731561651917496321,,,0,9,9,0,10,10,1,1,1,0,0,0.039788,176,0.000118,0,138,0,0
710812679695417344,,,0,1,1,0,1,1,1,1,1,0,0,0,3,0.000118,4,140,0,0
100promensch,,,2,0,2,2,0,2,0,0,0,0,0,0,3,0.00032,4,139,0,0.00597
908691835492732930,,,0,1,1,0,1,1,1,1,1,0,0,0,3,0.000118,4,141,0,0
1280543976,,,0,1,1,0,1,1,1,1,1,0,0,0.000501,25,0.000118,0,143,0,0
1984reload,,,25,0,25,30,0,30,0,0,0,0,0.012147,0,25,0.001122,0,142,0,0.074627
1361415758,,,0,14,14,0,18,18,1,1,1,0,0,0.007098,25,0.000118,0,155,0,0
1457392710,,,0,1,1,0,1,1,1,1,1,0,0,0.000501,25,0.000118,0,156,0,0
148689514,,,0,2,2,0,6,6,1,1,1,0,0,0.001075,25,0.000118,0,158,0,0
2198723234,,,0,5,5,0,6,6,1,1,1,0,0,0.018141,25,0.000118,0,159,0,0
2207547531,,,0,2,2,0,2,2,1,1,1,0,0,0.000666,25,0.000118,0,161,0,0
2346795098,,,0,5,5,0,6,6,1,1,1,0,0,0.014959,176,0.000118,0,163,0,0
247176002,,,0,1,1,0,1,1,1,1,1,0,0,0.000501,25,0.000118,0,164,0,0
284182005,,,0,3,3,0,3,3,1,1,1,0,0,0.00059,176,0.000118,0,167,0,0
3119096980,,,0,7,7,0,7,7,1,1,1,0,0,0.031621,176,0.000118,0,172,0,0
3368184118,,,0,6,6,0,6,6,1,1,1,0,0,0.008425,25,0.000118,0,175,0,0
3467011577,,,0,4,4,0,5,5,1,1,1,0,0,0.004221,176,0.000118,0,178,0,0
580838978,,,0,1,1,0,1,1,1,1,1,0,0,0.000501,25,0.000118,0,179,0,0
582243157,,,0,8,8,0,22,22,1,1,1,0,0,0.001381,25,0.000118,0,187,0,0
723551246322421760,,,0,1,1,0,2,2,1,1,1,0,0,0.000501,25,0.000118,0,188,0,0
726364147571671040,,,0,4,4,0,11,11,1,1,1,0,0,0.001128,25,0.000118,0,191,0,0
775045029324783616,,,0,1,1,0,1,1,1,1,1,0,0,0.000501,25,0.000118,0,192,0,0
779806523920973824,,,0,2,2,0,2,2,1,1,1,0,0,0.001032,25,0.000118,0,193,0,0
816717166900809729,,,0,32,32,0,62,62,1,1,1,0,0,0.119831,176,0.000118,0,203,0,0
832320651381899264,,,0,18,18,0,22,22,1,1,1,0,0,0.069275,176,0.000118,0,210,0,0
852445146704728064,,,0,2,2,0,3,3,1,1,1,0,0,0.001075,25,0.000118,0,211,0,0
853572263760867328,,,0,4,4,0,5,5,1,1,1,0,0,0.003245,25,0.000118,0,212,0,0
859101343356772353,,,0,7,7,0,10,10,1,1,1,0,0,0.005031,25,0.000118,0,216,0,0
873516436823703552,,,0,3,3,0,3,3,1,1,1,0,0,0.001174,25,0.000118,0,218,0,0
884783160822816768,,,0,6,6,0,22,22,1,1,1,0,0,0.001251,25,0.000118,0,221,0,0
431451643,,,0,2,2,0,2,2,1,1,1,0,0,0.000531,25,0.000118,0,223,0,0
3te_generation,,,2,0,2,2,0,2,0,0,0,0,0.000022,0,25,0.000269,0,222,0,0.00597
561075981,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,25,0.000118,0,224,0,0
1453575974,,,0,2,2,0,2,2,1,1,1,0,0,0.002139,176,0.000118,0,226,0,0
