"Target","Source","n","Weight"
"__investigate__","110728224",1,1
"__investigate__","134723768",1,1
"__investigate__","1396795352972505088",2,2
"__investigate__","19494801",1,1
"__investigate__","2734093875",1,1
"__investigate__","292330204",1,1
"__investigate__","385318541",1,1
"__investigate__","4626999742",1,1
"__investigate__","64642542",1,1
"__investigate__","756569436384026625",1,1
"__investigate__","917863768876617729",1,1
"__investigate__","968502825851478018",1,1
"__ths__","930752300",1,1
"_allyouneeed","814223389225263106",1,1
"_anke_v","1275550628094390273",1,1
"_anthony_r_","1198182791957102592",1,1
"_anthony_r_","162769774",1,1
"_anthony_r_","1960792351",1,1
"_anthony_r_","222440532",1,1
"_anthony_r_","22760468",1,1
"_anthony_r_","2980211794",1,1
"_anthony_r_","34881706",1,1
"_anthony_r_","455392322",1,1
"_anthony_r_","64666298",1,1
"_anthony_r_","762265140",1,1
"_anthony_r_","89255465",1,1
"_derheld_","1079106678635876352",1,1
"_derheld_","1241435432220532742",1,1
"_derheld_","1244963958",1,1
"_derheld_","173201205",1,1
"_derheld_","2248461500",1,1
"_derheld_","477249334",1,1
"_derheld_","778163888433065985",1,1
"_derheld_","92386731",1,1
"_electroproject","1403056772005482499",1,1
"_electroproject","2235621204",1,1
"_fkaminski","136289916",1,1
"_friedrichmerz","1009734674",1,1
"_friedrichmerz","101548192",1,1
"_friedrichmerz","1026773320400818183",1,1
"_friedrichmerz","1028249904999788544",1,1
"_friedrichmerz","1039184175159488517",1,1
"_friedrichmerz","1080209896589721601",1,1
"_friedrichmerz","108045031",1,1
"_friedrichmerz","1088701314",1,1
"_friedrichmerz","1122756440580603905",1,1
"_friedrichmerz","1131229779997409281",1,1
"_friedrichmerz","1135714176",1,1
"_friedrichmerz","1136733194965979136",1,1
"_friedrichmerz","1145077549",1,1
"_friedrichmerz","1148644974570946560",1,1
"_friedrichmerz","1150848342508879883",1,1
"_friedrichmerz","1153613046390099969",1,1
"_friedrichmerz","1158642693544775681",1,1
"_friedrichmerz","1159067874339762177",1,1
"_friedrichmerz","1163110141694291968",1,1
"_friedrichmerz","1182378068",1,1
"_friedrichmerz","1208756512899899393",1,1
"_friedrichmerz","1209496723757895680",1,1
"_friedrichmerz","1212844360200359936",1,1
"_friedrichmerz","1223685072047542272",1,1
"_friedrichmerz","1233110164804440072",1,1
"_friedrichmerz","1255241242683887622",1,1
"_friedrichmerz","1259058000519671809",1,1
"_friedrichmerz","127969710",1,1
"_friedrichmerz","1281880519693742080",1,1
"_friedrichmerz","1291763617352896512",1,1
"_friedrichmerz","1302697044486828032",1,1
"_friedrichmerz","1311898397201379328",1,1
"_friedrichmerz","1323602560079532032",1,1
"_friedrichmerz","1345099781543260160",1,1
"_friedrichmerz","1345490616856281091",1,1
"_friedrichmerz","1350807318708056064",1,1
"_friedrichmerz","1364667649448435713",1,1
"_friedrichmerz","1369600444964691970",1,1
"_friedrichmerz","1383418843763073027",1,1
"_friedrichmerz","1384526989227446272",1,1
"_friedrichmerz","1385520235453849600",1,1
"_friedrichmerz","1400750417638793216",1,1
"_friedrichmerz","1411657439188074498",1,1
"_friedrichmerz","1416139342968414214",1,1
"_friedrichmerz","1428847674422403072",1,1
"_friedrichmerz","1431959537175695368",1,1
"_friedrichmerz","1432043130254209032",1,1
"_friedrichmerz","1441522333894774787",1,1
"_friedrichmerz","163415824",1,1
"_friedrichmerz","1883253186",1,1
"_friedrichmerz","18977248",1,1
"_friedrichmerz","1917663662",1,1
"_friedrichmerz","20715858",1,1
"_friedrichmerz","210808629",1,1
"_friedrichmerz","2160879808",1,1
"_friedrichmerz","2165326617",1,1
"_friedrichmerz","2172509085",1,1
"_friedrichmerz","2207267525",1,1
"_friedrichmerz","2285390059",1,1
"_friedrichmerz","2711107895",1,1
"_friedrichmerz","2721878217",1,1
"_friedrichmerz","2726147654",1,1
"_friedrichmerz","2727010593",1,1
"_friedrichmerz","27859844",1,1
"_friedrichmerz","2904048473",1,1
"_friedrichmerz","2981656487",1,1
"_friedrichmerz","308212534",1,1
"_friedrichmerz","390677950",1,1
"_friedrichmerz","3911147343",1,1
"_friedrichmerz","4195967285",1,1
"_friedrichmerz","4210092389",1,1
"_friedrichmerz","43357176",1,1
"_friedrichmerz","557678150",1,1
"_friedrichmerz","617093358",1,1
"_friedrichmerz","729794561959145472",1,1
"_friedrichmerz","743470801282797569",1,1
"_friedrichmerz","762917240744341508",1,1
"_friedrichmerz","779041123486531585",1,1
"_friedrichmerz","785411999664668672",1,1
"_friedrichmerz","786635970208759808",1,1
"_friedrichmerz","811585642044026880",1,1
"_friedrichmerz","819254643670810628",1,1
"_friedrichmerz","823498366285922304",1,1
"_friedrichmerz","839514511",1,1
"_friedrichmerz","843009124598272000",1,1
"_friedrichmerz","860510873865072640",1,1
"_friedrichmerz","872891650862964738",1,1
"_friedrichmerz","886186322276253696",1,1
"_friedrichmerz","897038442957295617",1,1
"_friedrichmerz","937014136038404096",1,1
"_friedrichmerz","942849893827334145",1,1
"_friedrichmerz","957609770055340032",1,1
"_friedrichmerz","966664792923615234",1,1
"_friedrichmerz","984520185146114049",1,1
"_heimatliebe_","1203950248579739648",1,1
"_heimatliebe_","1354385866890874887",1,1
"_heimatliebe_","774956716341530624",1,1
"_heimatliebe_","822160841260797952",1,1
"_heimatliebe_","824312973623721984",1,1
"_heimatliebe_","835916081319424000",1,1
"_heimatliebe_","963816741821407232",1,1
"_hugin_","1141296779876556801",1,1
"_kaeru_de","128497390",1,1
"_klimanotstand_","10487642",1,1
"_klimanotstand_","1049706021835472897",1,1
"_klimanotstand_","1147221536077754368",1,1
"_klimanotstand_","1189211350486126594",1,1
"_klimanotstand_","1222268332746924033",1,1
"_klimanotstand_","1241349540659281920",1,1
"_klimanotstand_","1347942069164240897",1,1
"_klimanotstand_","1359483265246244865",1,1
"_klimanotstand_","1396692078",1,1
"_klimanotstand_","161302782",1,1
"_klimanotstand_","29679954",1,1
"_klimanotstand_","455392322",1,1
"_klimanotstand_","4782971416",1,1
"_klimanotstand_","521356575",1,1
"_klimanotstand_","64666298",3,3
"_klimanotstand_","706138485",3,3
"_klimanotstand_","77998228",1,1
"_klimanotstand_","793822897567588352",1,1
"_klimanotstand_","921347171923963904",2,2
"_klimanotstand_","922470541956612100",1,1
"_klimanotstand_","944685994443530243",1,1
"_klimanotstand_","95407913",1,1
"_klimanotstand_","964651935306575872",1,1
"_lakra_","1009093267261140993",1,1
"_lakra_","1009464601715662848",1,1
"_lakra_","1023659705099583488",1,1
"_lakra_","1025063707",1,1
"_lakra_","1028263085235208192",1,1
"_lakra_","1035476030",1,1
"_lakra_","103578946",1,1
"_lakra_","1036353024774553601",1,1
"_lakra_","1037979377928204289",1,1
"_lakra_","1038062277180751872",1,1
"_lakra_","1038175222711631873",1,1
"_lakra_","1043870404849397761",1,1
"_lakra_","1046025622361960448",1,1
"_lakra_","1046041256307150849",1,1
"_lakra_","105825321",1,1
"_lakra_","1066009854979031042",1,1
"_lakra_","1070798797150801920",1,1
"_lakra_","1071358212534951937",1,1
"_lakra_","1071838156159361024",1,1
"_lakra_","1100018070444273664",1,1
"_lakra_","1103016350233042944",1,1
"_lakra_","112526774",1,1
"_lakra_","1131565156704686080",1,1
"_lakra_","1181217370263687168",1,1
"_lakra_","1206346994853306368",1,1
"_lakra_","1213274423064547329",1,1
"_lakra_","1217396306215346176",1,1
"_lakra_","1219148568600203264",1,1
"_lakra_","1232623494799745025",1,1
"_lakra_","1237860250050424840",1,1
"_lakra_","1238019140864159744",1,1
"_lakra_","1244112258575282176",1,1
"_lakra_","1265884828647522305",1,1
"_lakra_","1276149983448875019",1,1
"_lakra_","1288091418",1,1
"_lakra_","1302290328330924042",1,1
"_lakra_","1311146833452896256",1,1
"_lakra_","131957698",1,1
"_lakra_","1322267497765154817",1,1
"_lakra_","132428346",1,1
"_lakra_","1327335353951383553",1,1
"_lakra_","13278322",1,1
"_lakra_","1330003168030232578",1,1
"_lakra_","1334243653",1,1
"_lakra_","1340397615574298635",1,1
"_lakra_","1349008270611111944",1,1
"_lakra_","1349357983336173570",1,1
"_lakra_","1354684516598767618",1,1
"_lakra_","1357445706987032579",1,1
"_lakra_","1365194530530750464",1,1
"_lakra_","1367446489",1,1
"_lakra_","1367590421283627008",1,1
"_lakra_","13688272",1,1
"_lakra_","1371169331476844546",1,1
"_lakra_","1373221395279265794",1,1
"_lakra_","1374684919889289217",1,1
"_lakra_","1396795352972505088",1,1
"_lakra_","1408023530",1,1
"_lakra_","14100029",1,1
"_lakra_","1416739865518092291",1,1
"_lakra_","1420072651792556033",1,1
"_lakra_","1423198185355452419",1,1
"_lakra_","1483395600",1,1
"_lakra_","153884624",1,1
"_lakra_","154557784",1,1
"_lakra_","1553799757",1,1
"_lakra_","1580884160",1,1
"_lakra_","159146257",1,1
"_lakra_","162779888",1,1
"_lakra_","172875122",1,1
"_lakra_","18103858",1,1
"_lakra_","18672905",1,1
"_lakra_","186773163",1,1
"_lakra_","191170156",1,1
"_lakra_","192188683",1,1
"_lakra_","19590930",1,1
"_lakra_","19772495",1,1
"_lakra_","200643599",1,1
"_lakra_","20868505",1,1
"_lakra_","21657066",1,1
"_lakra_","21874188",1,1
"_lakra_","2197495135",1,1
"_lakra_","2200838128",1,1
"_lakra_","2263309039",1,1
"_lakra_","22914851",1,1
"_lakra_","235612416",1,1
"_lakra_","2403082631",1,1
"_lakra_","2405245945",1,1
"_lakra_","246240656",1,1
"_lakra_","2496213422",1,1
"_lakra_","252239826",1,1
"_lakra_","25277394",1,1
"_lakra_","2528383562",1,1
"_lakra_","256886974",1,1
"_lakra_","256910783",1,1
