Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1373056574,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000283,0,1,0,0
__redcat,,,4,0,4,4,0,4,0,0,0,0,0,0,0,0.001244,0,0,0,0.020408
198102094,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000283,0,2,0,0
373589335,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000283,0,3,0,0
596753130,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000283,0,4,0,0
1252186177,,,0,1,1,0,1,1,1,1,1,0,0,0.000012,42,0.000283,1,6,0,0
_kraftsebastian,,,17,0,17,19,0,19,0,0,0,0,0.00017,0,42,0.002895,1,5,0,0.086735
17895011,,,0,1,1,0,1,1,1,1,1,0,0,0.000012,42,0.000283,1,7,0,0
21107582,,,0,6,6,0,8,8,1,1,1,0,0,0.000013,42,0.000283,1,13,0,0
24700850,,,0,1,1,0,1,1,1,1,1,0,0,0.000012,42,0.000283,1,14,0,0
2698831530,,,0,1,1,0,1,1,1,1,1,0,0,0.000012,42,0.000283,1,15,0,0
2722049123,,,0,3,3,0,4,4,1,1,1,0,0,0.0002,42,0.000283,1,17,0,0
2830440635,,,0,1,1,0,1,1,1,1,1,0,0,0.000012,42,0.000283,1,18,0,0
289525596,,,0,1,1,0,1,1,1,1,1,0,0,0.000012,42,0.000283,1,19,0,0
2974882234,,,0,2,2,0,4,4,1,1,1,0,0,0.000013,42,0.000283,1,20,0,0
4224722859,,,0,2,2,0,2,2,1,1,1,0,0,0.000312,21,0.000283,1,22,0,0
426664583,,,0,2,2,0,2,2,1,1,1,0,0,0.000012,42,0.000283,1,24,0,0
463726254,,,0,3,3,0,3,3,1,1,1,0,0,0.000313,42,0.000283,1,26,0,0
793778228,,,0,1,1,0,1,1,1,1,1,0,0,0.000012,42,0.000283,1,27,0,0
825730639194361856,,,0,10,10,0,12,12,1,1,1,0,0,0.001435,38,0.000283,1,37,0,0
901860816009482240,,,0,2,2,0,2,2,1,1,1,0,0,0.000012,42,0.000283,1,38,0,0
90524645,,,0,4,4,0,9,9,1,1,1,0,0,0.000029,42,0.000283,1,42,0,0
930505034,,,0,1,1,0,1,1,1,1,1,0,0,0.000012,42,0.000283,1,43,0,0
710812679695417344,,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.000283,2,45,0,0
100promensch,,,2,0,2,2,0,2,0,0,0,0,0,0,1,0.000763,2,44,0,0.010204
908691835492732930,,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.000283,2,46,0,0
122480383,,,0,1,1,0,1,1,1,1,1,0,0,0,2,0.000283,3,48,0,0
1980yann,,,1,0,1,1,0,1,0,0,0,0,0,0,2,0.000523,3,47,0,0.005102
832320651381899264,,,0,6,6,0,6,6,1,1,1,0,0,0.000569,38,0.000283,1,53,0,0
1984reload,,,1,0,1,1,0,1,0,0,0,0,0.00004,0,38,0.000323,1,52,0,0.005102
1004097176,,,0,2,2,0,2,2,1,1,1,0,0,0.000675,42,0.000283,1,55,0,0
24mmjournalism,,,39,0,39,44,0,44,0,0,0,0,0.009418,0,50,0.007942,1,54,0,0.19898
1028013247,,,0,1,1,0,1,1,1,1,1,0,0,0.000658,50,0.000283,1,56,0,0
1198644284,,,0,1,1,0,1,1,1,1,1,0,0,0.000658,50,0.000283,1,57,0,0
1303831124,,,0,1,1,0,1,1,1,1,1,0,0,0.000658,50,0.000283,1,58,0,0
139493517,,,0,1,1,0,1,1,1,1,1,0,0,0.000658,50,0.000283,1,59,0,0
14785687,,,0,1,1,0,2,2,1,1,1,0,0,0.000658,50,0.000283,1,60,0,0
17930649,,,0,1,1,0,1,1,1,1,1,0,0,0.000658,50,0.000283,1,61,0,0
