"Target","Source","n","Weight"
"","353520385",2,2
"__redcat","1373056574",1,1
"__redcat","198102094",1,1
"__redcat","373589335",1,1
"__redcat","596753130",1,1
"_kraftsebastian","1252186177",1,1
"_kraftsebastian","17895011",1,1
"_kraftsebastian","21107582",1,1
"_kraftsebastian","24700850",1,1
"_kraftsebastian","2698831530",1,1
"_kraftsebastian","2722049123",1,1
"_kraftsebastian","2830440635",1,1
"_kraftsebastian","289525596",1,1
"_kraftsebastian","2974882234",1,1
"_kraftsebastian","4224722859",1,1
"_kraftsebastian","426664583",1,1
"_kraftsebastian","463726254",1,1
"_kraftsebastian","793778228",1,1
"_kraftsebastian","825730639194361856",1,1
"_kraftsebastian","901860816009482240",1,1
"_kraftsebastian","90524645",3,3
"_kraftsebastian","930505034",1,1
"100promensch","710812679695417344",1,1
"100promensch","908691835492732930",1,1
"1980yann","122480383",1,1
"1984reload","832320651381899264",1,1
"24mmjournalism","1004097176",1,1
"24mmjournalism","1028013247",1,1
"24mmjournalism","1198644284",1,1
"24mmjournalism","1303831124",1,1
"24mmjournalism","139493517",1,1
"24mmjournalism","14785687",2,2
"24mmjournalism","17930649",1,1
"24mmjournalism","1873548374",1,1
"24mmjournalism","21703164",1,1
"24mmjournalism","21739255",1,1
"24mmjournalism","224159675",1,1
"24mmjournalism","2427771371",3,3
"24mmjournalism","258428285",1,1
"24mmjournalism","259638173",1,1
"24mmjournalism","267461928",1,1
"24mmjournalism","2766136308",1,1
"24mmjournalism","2776064484",1,1
"24mmjournalism","2941978445",1,1
"24mmjournalism","3045905403",1,1
"24mmjournalism","328199458",1,1
"24mmjournalism","3305087134",1,1
"24mmjournalism","3622763115",1,1
"24mmjournalism","373967257",1,1
"24mmjournalism","3970662381",1,1
"24mmjournalism","4033189133",1,1
"24mmjournalism","4517767336",1,1
"24mmjournalism","47433235",1,1
"24mmjournalism","4887509297",1,1
"24mmjournalism","53152287",1,1
"24mmjournalism","580000094",1,1
"24mmjournalism","713530218300981248",1,1
"24mmjournalism","71479439",1,1
"24mmjournalism","717708601129836544",3,3
"24mmjournalism","733576813243301888",1,1
"24mmjournalism","754005538875252736",1,1
"24mmjournalism","756402174381416448",1,1
"24mmjournalism","811515368443445248",1,1
"24mmjournalism","892996270071140352",1,1
"24mmjournalism","92378038",1,1
"a_leimbach","2171118496",1,1
"aangelo_ge","19314965",1,1
"adivonpoes","183118752",1,1
"adivonpoes","259638173",1,1
"adivonpoes","265392958",1,1
"adivonpoes","4621226295",1,1
"adivonpoes","899212735770218497",1,1
"afd_bayern","2270148584",1,1
"afd_bayern","2999837297",1,1
"afd_bayern","533330971",1,1
"afd_bayern","757151613970739200",3,3
"afd_bayern","801836974285922305",1,1
"afd_bayern","904044880195936256",1,1
"afd_hd","2999837297",1,1
"afd_hd","4187629275",2,2
"afd_hd","786684499694325760",1,1
"afd_hd","817842489814118401",1,1
"afd_hd","855824260715118594",2,2
"afd_hd","887334582634328065",2,2
"afd_hd","895743256159551488",1,1
"afd_hd","899212735770218497",1,1
"afdnbg","125920442",1,1
"afdnbg","1352112025",1,1
"afdnbg","183409796",1,1
"afdnbg","2272974335",1,1
"afdnbg","2359589912",1,1
"afdnbg","2465907259",1,1
"afdnbg","3161840043",1,1
"afdnbg","350241525",1,1
"afdnbg","3909546753",1,1
"afdnbg","4141262475",1,1
"afdnbg","428445865",1,1
"afdnbg","4527127899",1,1
