Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
43321709,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000142,0,1,0,0
_bundestagswahl,,,3,0,3,3,0,3,0,0,0,0,0,0,0,0.000503,0,0,0,0.013216
556948074,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000142,0,2,0,0
737894894040154115,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000142,0,3,0,0
1490376331,,,0,3,3,0,3,3,1,1,1,0,0,0.064471,134,0.000142,1,7,0,0
_macmike,,,11,0,11,11,0,11,0,0,0,0,0.035375,0,134,0.000554,1,6,0,0.048458
1534331402,,,0,12,12,0,12,12,1,1,1,0,0,0.099806,134,0.000142,1,17,0,0
244275521,,,0,2,2,0,2,2,1,1,1,0,0,0.004637,134,0.000142,1,19,0,0
2463582956,,,0,8,8,0,9,9,1,1,1,0,0,0.064657,134,0.000142,1,26,0,0
2502606786,,,0,11,11,0,11,11,1,1,1,0,0,0.096323,134,0.000142,1,33,0,0
550804211,,,0,2,2,0,2,2,1,1,1,0,0,0.035253,134,0.000142,1,34,0,0
736796494884442112,,,0,5,5,0,7,7,1,1,1,0,0,0.076069,134,0.000142,1,36,0,0
756881814862569472,,,0,1,1,0,1,1,1,1,1,0,0,0.001891,134,0.000142,1,37,0,0
799471710051438592,,,0,10,10,0,12,12,1,1,1,0,0,0.11043,134,0.000142,1,41,0,0
882700585614659584,,,0,2,2,0,2,2,1,1,1,0,0,0.008558,134,0.000142,1,42,0,0
884887711374508033,,,0,11,11,0,13,13,1,1,1,0,0,0.09955,134,0.000142,1,48,0,0
1478957558,,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.000142,2,50,0,0
_ormuz_,,,1,0,1,1,0,1,0,0,0,0,0,0,1,0.000262,2,49,0,0.004405
574692308,,,0,5,5,0,5,5,1,1,1,0,0,0.001836,78,0.000142,1,55,0,0
_r7h_,,,1,0,1,1,0,1,0,0,0,0,0.000098,0,78,0.000166,1,54,0,0.004405
589509594,,,0,5,5,0,5,5,1,1,1,0,0,0.000069,72,0.000142,1,61,0,0
_rony,,,2,0,2,2,0,2,0,0,0,0,0.000004,0,72,0.000286,1,60,0,0.008811
617223062,,,0,1,1,0,1,1,1,1,1,0,0,0,72,0.000142,1,62,0,0
2399811175,,,0,2,2,0,2,2,1,1,1,0,0,0.000004,78,0.000142,1,65,0,0
_stefanie_kl,,,3,0,3,3,0,3,0,0,0,0,0,0,78,0.000443,1,64,0,0.013216
2802664413,,,0,1,1,0,1,1,1,1,1,0,0,0,78,0.000142,1,66,0,0
3521230521,,,0,1,1,0,1,1,1,1,1,0,0,0,78,0.000142,1,67,0,0
1510265586,,,0,1,1,0,1,1,1,1,1,0,0,0,2,0.000142,3,69,0,0
_tux_,,,1,0,1,1,0,1,0,0,0,0,0,0,2,0.000262,3,68,0,0.004405
259638173,,,0,15,15,0,17,17,1,1,1,0,0,0.1205,134,0.000142,1,74,0,0
0930uhr,,,1,0,1,1,0,1,0,0,0,0,0.006443,0,134,0.000149,1,73,0,0.004405
869174739813773314,,,0,1,1,0,1,1,1,1,1,0,0,0,3,0.000142,4,76,0,0
100erneuerbar,,,1,0,1,1,0,1,0,0,0,0,0,0,3,0.000262,4,75,0,0.004405
710812679695417344,,,0,1,1,0,1,1,1,1,1,0,0,0,4,0.000142,5,78,0,0
100promensch,,,2,0,2,2,0,2,0,0,0,0,0,0,4,0.000382,5,77,0,0.008811
908691835492732930,,,0,1,1,0,1,1,1,1,1,0,0,0,4,0.000142,5,79,0,0
235172442,,,0,14,14,0,16,16,1,1,1,0,0,0.002417,78,0.000142,1,92,0,0
19_adrian_97,,,7,0,7,8,0,8,0,0,0,0,0.00036,0,78,0.000532,1,91,0,0.030837
2353718293,,,0,1,1,0,2,2,1,1,1,0,0,0.000019,78,0.000142,1,93,0,0
2945106838,,,0,1,1,0,1,1,1,1,1,0,0,0.000019,78,0.000142,1,94,0,0
840958613103468544,,,0,10,10,0,10,10,1,1,1,0,0,0.002278,78,0.000142,1,101,0,0
893502391,,,0,3,3,0,3,3,1,1,1,0,0,0.000246,78,0.000142,1,102,0,0
905486080224493576,,,0,4,4,0,4,4,1,1,1,0,0,0.001731,78,0.000142,1,104,0,0
911983735796568069,,,0,2,2,0,2,2,1,1,1,0,0,0.000019,78,0.000142,1,106,0,0
148689514,,,0,1,1,0,1,1,1,1,1,0,0,0,5,0.000142,6,108,0,0
1984reload,,,1,0,1,1,0,1,0,0,0,0,0,0,5,0.000262,6,107,0,0.004405
1303831124,,,0,1,1,0,1,1,1,1,1,0,0,0,6,0.000142,7,110,0,0
24mmjournalism,,,3,0,3,3,0,3,0,0,0,0,0,0,6,0.000503,7,109,0,0.013216
2427771371,,,0,1,1,0,1,1,1,1,1,0,0,0,6,0.000142,7,111,0,0
717708601129836544,,,0,1,1,0,1,1,1,1,1,0,0,0,6,0.000142,7,112,0,0
2984008847,,,0,5,5,0,5,5,1,1,1,0,0,0.000195,53,0.000142,1,117,0,0
2n1f,,,1,0,1,1,0,1,0,0,0,0,0.00001,0,53,0.000166,1,116,0,0.004405
1453575974,,,0,6,6,0,7,7,1,1,1,0,0,0.048908,134,0.000142,1,121,0,0
451_grad,,,4,0,4,4,0,4,0,0,0,0,0.002637,0,134,0.00052,1,120,0,0.017621
2561586612,,,0,1,1,0,1,1,1,1,1,0,0,0.000141,134,0.000142,1,122,0,0
3018934037,,,0,1,1,0,1,1,1,1,1,0,0,0.000141,134,0.000142,1,123,0,0
871293586633109504,,,0,1,1,0,1,1,1,1,1,0,0,0.000141,134,0.000142,1,124,0,0
1257753662,,,0,1,1,0,1,1,1,1,1,0,0,0,53,0.000142,1,126,0,0
5y5t3m_3rr0r,,,4,0,4,4,0,4,0,0,0,0,0.000001,0,53,0.000523,1,125,0,0.017621
68112791,,,0,1,1,0,1,1,1,1,1,0,0,0,53,0.000142,1,127,0,0
726364147571671040,,,0,5,5,0,6,6,1,1,1,0,0,0.000016,53,0.000142,1,132,0,0
816755102715408389,,,0,1,1,0,1,1,1,1,1,0,0,0,53,0.000142,1,133,0,0
4228788018,,,0,5,5,0,7,7,1,1,1,0,0,0.039396,134,0.000142,1,136,0,0
a_nicht_nichta,,,1,0,1,1,0,1,0,0,0,0,0.002106,0,134,0.000159,1,135,0,0.004405
109081375,,,0,2,2,0,2,2,1,1,1,0,0,0.001569,78,0.000142,1,137,0,0
a_pinkwart,,,23,0,23,24,0,24,0,0,0,0,0.001617,0,78,0.001311,1,100,0,0.101322
1106380064,,,0,2,2,0,2,2,1,1,1,0,0,0.001569,78,0.000142,1,138,0,0
122104353,,,0,12,12,0,15,15,1,1,1,0,0,0.000553,78,0.000142,1,146,0,0
15630931,,,0,3,3,0,3,3,1,1,1,0,0,0.000571,78,0.000142,1,147,0,0
1924342560,,,0,3,3,0,4,4,1,1,1,0,0,0.001885,78,0.000142,1,148,0,0
216697973,,,0,2,2,0,2,2,1,1,1,0,0,0.000255,78,0.000142,1,149,0,0
21794101,,,0,1,1,0,1,1,1,1,1,0,0,0.000086,78,0.000142,1,150,0,0
2383811696,,,0,2,2,0,2,2,1,1,1,0,0,0.000255,78,0.000142,1,151,0,0
2400673484,,,0,5,5,0,6,6,1,1,1,0,0,0.002103,78,0.000142,1,153,0,0
261410266,,,0,2,2,0,2,2,1,1,1,0,0,0.001613,78,0.000142,1,154,0,0
267254947,,,0,2,2,0,2,2,1,1,1,0,0,0.001569,78,0.000142,1,155,0,0
2842518987,,,0,7,7,0,9,9,1,1,1,0,0,0.00347,78,0.000142,1,158,0,0
3072215341,,,0,1,1,0,1,1,1,1,1,0,0,0.000086,78,0.000142,1,159,0,0
4689763766,,,0,2,2,0,2,2,1,1,1,0,0,0.001613,78,0.000142,1,160,0,0
53347729,,,0,6,6,0,7,7,1,1,1,0,0,0.002031,78,0.000142,1,164,0,0
61773495,,,0,1,1,0,1,1,1,1,1,0,0,0.000086,78,0.000142,1,165,0,0
710897145767927808,,,0,4,4,0,7,7,1,1,1,0,0,0.00194,78,0.000142,1,167,0,0
721353682076483584,,,0,14,14,0,16,16,1,1,1,0,0,0.000972,78,0.000142,1,175,0,0
741906107627606016,,,0,21,21,0,23,23,1,1,1,0,0,0.002884,78,0.000142,1,188,0,0
857887263421845504,,,0,1,1,0,1,1,1,1,1,0,0,0.000086,78,0.000142,1,189,0,0
861549043784306688,,,0,15,15,0,22,22,1,1,1,0,0,0.002667,78,0.000142,1,194,0,0
863330111654940672,,,0,2,2,0,2,2,1,1,1,0,0,0.000094,78,0.000142,1,195,0,0
239078153,,,0,3,3,0,3,3,1,1,1,0,0,0.001087,53,0.000142,1,199,0,0
aangelo_ge,,,1,0,1,1,0,1,0,0,0,0,0.000058,0,53,0.000182,1,198,0,0.004405
absynthkoenigin,,,1,0,1,1,0,1,0,0,0,0,0.000112,0,78,0.000162,1,152,0,0.004405
2860979147,,,0,3,3,0,3,3,1,1,1,0,0,0.001542,78,0.000142,1,202,0,0
achimkansy,,,2,0,2,2,0,2,0,0,0,0,0.000192,0,78,0.000202,1,201,0,0.008811
825658923420098563,,,0,6,6,0,6,6,1,1,1,0,0,0.002055,78,0.000142,1,204,0,0
1106353656,,,0,1,1,0,1,1,1,1,1,0,0,0,7,0.000142,8,206,0,0
adilkoller,,,7,0,7,7,0,7,0,0,0,0,0,0,7,0.000984,8,205,0,0.030837
1575630127,,,0,1,1,0,1,1,1,1,1,0,0,0,7,0.000142,8,207,0,0
2951837405,,,0,1,1,0,1,1,1,1,1,0,0,0,7,0.000142,8,208,0,0
308656005,,,0,1,1,0,1,1,1,1,1,0,0,0,7,0.000142,8,209,0,0
455601285,,,0,1,1,0,1,1,1,1,1,0,0,0,7,0.000142,8,210,0,0
476686304,,,0,1,1,0,1,1,1,1,1,0,0,0,7,0.000142,8,211,0,0
823157346406907904,,,0,1,1,0,1,1,1,1,1,0,0,0,7,0.000142,8,212,0,0
1229528486,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,213,0,0
afd_bv_hh_nord,,,47,0,47,47,0,47,0,0,0,0,0.098084,0,134,0.0028,1,35,0,0.207048
1337303960,,,0,9,9,0,9,9,1,1,1,0,0,0.077057,134,0.000142,1,215,0,0
1346845500,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,216,0,0
139424337,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,217,0,0
1397275166,,,0,7,7,0,7,7,1,1,1,0,0,0.094052,134,0.000142,1,218,0,0
1552982012,,,0,10,10,0,12,12,1,1,1,0,0,0.107645,134,0.000142,1,220,0,0
1585692482,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,221,0,0
2285705570,,,0,3,3,0,3,3,1,1,1,0,0,0.023336,134,0.000142,1,222,0,0
2389172415,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,223,0,0
2635598825,,,0,2,2,0,2,2,1,1,1,0,0,0.018378,134,0.000142,1,224,0,0
2773112420,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,225,0,0
2872928780,,,0,5,5,0,5,5,1,1,1,0,0,0.051258,134,0.000142,1,228,0,0
2887896783,,,0,3,3,0,3,3,1,1,1,0,0,0.038498,134,0.000142,1,229,0,0
2966118263,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,230,0,0
309712179,,,0,4,4,0,4,4,1,1,1,0,0,0.079561,134,0.000142,1,231,0,0
3119096980,,,0,5,5,0,5,5,1,1,1,0,0,0.063659,134,0.000142,1,233,0,0
3161359328,,,0,4,4,0,5,5,1,1,1,0,0,0.049043,134,0.000142,1,234,0,0
330357834,,,0,7,7,0,7,7,1,1,1,0,0,0.074722,134,0.000142,1,235,0,0
3341138776,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,236,0,0
3376139050,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,237,0,0
340541943,,,0,3,3,0,3,3,1,1,1,0,0,0.035807,134,0.000142,1,239,0,0
382248824,,,0,8,8,0,8,8,1,1,1,0,0,0.069244,134,0.000142,1,243,0,0
411815636,,,0,3,3,0,3,3,1,1,1,0,0,0.024732,134,0.000142,1,244,0,0
42291979,,,0,5,5,0,5,5,1,1,1,0,0,0.03583,134,0.000142,1,247,0,0
4569352401,,,0,10,10,0,11,11,1,1,1,0,0,0.064869,134,0.000142,1,252,0,0
4725617597,,,0,2,2,0,2,2,1,1,1,0,0,0.018378,134,0.000142,1,253,0,0
528734391,,,0,2,2,0,2,2,1,1,1,0,0,0.007011,134,0.000142,1,255,0,0
533330971,,,0,8,8,0,11,11,1,1,1,0,0,0.086281,134,0.000142,1,257,0,0
70368525,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,258,0,0
745255669,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,259,0,0
748257922422026242,,,0,6,6,0,6,6,1,1,1,0,0,0.059531,134,0.000142,1,261,0,0
757151613970739200,,,0,7,7,0,7,7,1,1,1,0,0,0.089268,134,0.000142,1,262,0,0
757584921267433472,,,0,9,9,0,10,10,1,1,1,0,0,0.101664,134,0.000142,1,264,0,0
757945606778281984,,,0,3,3,0,3,3,1,1,1,0,0,0.005627,134,0.000142,1,267,0,0
803306131099623425,,,0,4,4,0,4,4,1,1,1,0,0,0.039982,134,0.000142,1,269,0,0
810979706946387969,,,0,2,2,0,2,2,1,1,1,0,0,0.011911,134,0.000142,1,270,0,0
821024924517199872,,,0,4,4,0,4,4,1,1,1,0,0,0.044721,134,0.000142,1,271,0,0
836338243364876290,,,0,13,13,0,15,15,1,1,1,0,0,0.110035,134,0.000142,1,273,0,0
846405093708763136,,,0,4,4,0,5,5,1,1,1,0,0,0.045527,134,0.000142,1,274,0,0
863708302584184832,,,0,2,2,0,2,2,1,1,1,0,0,0.007946,134,0.000142,1,276,0,0
864983682196676608,,,0,2,2,0,2,2,1,1,1,0,0,0.006906,134,0.000142,1,277,0,0
878654234,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,278,0,0
907182471606927361,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,279,0,0
907669849945645058,,,0,1,1,0,1,1,1,1,1,0,0,0.005244,134,0.000142,1,280,0,0
909172022651113473,,,0,5,5,0,5,5,1,1,1,0,0,0.022089,134,0.000142,1,282,0,0
1009250894,,,0,9,9,0,13,13,1,1,1,0,0,0.11781,134,0.000142,1,283,0,0
afd_fraktionnrw,,,21,0,21,21,0,21,0,0,0,0,0.062303,0,134,0.000993,1,25,0,0.092511
172285276,,,0,2,2,0,2,2,1,1,1,0,0,0.013472,134,0.000142,1,284,0,0
2688079904,,,0,5,5,0,7,7,1,1,1,0,0,0.080375,134,0.000142,1,285,0,0
2886760553,,,0,8,8,0,10,10,1,1,1,0,0,0.065646,134,0.000142,1,286,0,0
2888134319,,,0,2,2,0,2,2,1,1,1,0,0,0.015069,134,0.000142,1,287,0,0
3326127893,,,0,3,3,0,3,3,1,1,1,0,0,0.039395,134,0.000142,1,288,0,0
3963583343,,,0,2,2,0,2,2,1,1,1,0,0,0.016465,134,0.000142,1,289,0,0
428155591,,,0,1,1,0,1,1,1,1,1,0,0,0.003331,134,0.000142,1,290,0,0
4748179756,,,0,2,2,0,2,2,1,1,1,0,0,0.013472,134,0.000142,1,291,0,0
4871944481,,,0,2,2,0,2,2,1,1,1,0,0,0.003978,134,0.000142,1,292,0,0
508184017,,,0,1,1,0,1,1,1,1,1,0,0,0.003331,134,0.000142,1,293,0,0
546080350,,,0,5,5,0,5,5,1,1,1,0,0,0.051228,134,0.000142,1,294,0,0
628046813,,,0,12,12,0,13,13,1,1,1,0,0,0.085807,134,0.000142,1,296,0,0
726815926205698050,,,0,1,1,0,1,1,1,1,1,0,0,0.003331,134,0.000142,1,297,0,0
756871023996395523,,,0,7,7,0,7,7,1,1,1,0,0,0.056833,134,0.000142,1,298,0,0
816717166900809729,,,0,25,25,0,34,34,1,1,1,0,0,0.152542,134,0.000142,1,305,0,0
887334582634328065,,,0,10,10,0,11,11,1,1,1,0,0,0.09432,134,0.000142,1,307,0,0
1375039512,,,0,3,3,0,3,3,1,1,1,0,0,0.020203,134,0.000142,1,308,0,0
afd_hd,,,19,0,19,19,0,19,0,0,0,0,0.051349,0,134,0.001167,1,18,0,0.0837
1475528634,,,0,4,4,0,4,4,1,1,1,0,0,0.040322,134,0.000142,1,309,0,0
2270148584,,,0,12,12,0,15,15,1,1,1,0,0,0.108913,134,0.000142,1,312,0,0
3457564343,,,0,4,4,0,5,5,1,1,1,0,0,0.077063,134,0.000142,1,313,0,0
3744663319,,,0,1,1,0,1,1,1,1,1,0,0,0.002745,134,0.000142,1,314,0,0
3898234097,,,0,1,1,0,1,1,1,1,1,0,0,0.002745,134,0.000142,1,315,0,0
4684435970,,,0,6,6,0,7,7,1,1,1,0,0,0.04253,134,0.000142,1,317,0,0
4830435670,,,0,7,7,0,9,9,1,1,1,0,0,0.090839,134,0.000142,1,318,0,0
741646773115064320,,,0,1,1,0,1,1,1,1,1,0,0,0.002745,134,0.000142,1,319,0,0
775343888752074753,,,0,1,1,0,1,1,1,1,1,0,0,0.002745,134,0.000142,1,320,0,0
791987183863336960,,,0,2,2,0,2,2,1,1,1,0,0,0.009099,134,0.000142,1,321,0,0
825730639194361856,,,0,13,13,0,15,15,1,1,1,0,0,0.106562,134,0.000142,1,324,0,0
846721275838038017,,,0,1,1,0,1,1,1,1,1,0,0,0.002745,134,0.000142,1,325,0,0
89028308,,,0,1,1,0,1,1,1,1,1,0,0,0.002745,134,0.000142,1,326,0,0
836175103998177280,,,0,4,4,0,7,7,1,1,1,0,0,0.041264,134,0.000142,1,328,0,0
afd_lv_sh,,,3,0,3,3,0,3,0,0,0,0,0.010488,0,134,0.000199,1,327,0,0.013216
900239547635822592,,,0,6,6,0,6,6,1,1,1,0,0,0.081379,134,0.000142,1,329,0,0
904044880195936256,,,0,5,5,0,6,6,1,1,1,0,0,0.07353,134,0.000142,1,330,0,0
899546591933210624,,,0,1,1,0,1,1,1,1,1,0,0,0,8,0.000142,9,332,0,0
afd_muenster,,,1,0,1,1,0,1,0,0,0,0,0,0,8,0.000262,9,331,0,0.004405
270812908,,,0,3,3,0,3,3,1,1,1,0,0,0.001199,134,0.000142,1,335,0,0
afd_paderborn,,,5,0,5,5,0,5,0,0,0,0,0.005057,0,134,0.000302,1,266,0,0.022026
3448073356,,,0,11,11,0,13,13,1,1,1,0,0,0.061097,134,0.000142,1,338,0,0
746423804289679360,,,0,7,7,0,11,11,1,1,1,0,0,0.020344,134,0.000142,1,340,0,0
887961313795874816,,,0,2,2,0,2,2,1,1,1,0,0,0.006315,134,0.000142,1,341,0,0
3360887699,,,0,4,4,0,4,4,1,1,1,0,0,0.004737,134,0.000142,1,344,0,0
afd_stormarn,,,2,0,2,2,0,2,0,0,0,0,0.002364,0,134,0.000202,1,343,0,0.008811
838116062776406016,,,0,3,3,0,4,4,1,1,1,0,0,0.039485,134,0.000142,1,345,0,0
185367751,,,0,5,5,0,6,6,1,1,1,0,0,0.053943,134,0.000142,1,346,0,0
afdduesseldorf,,,16,0,16,17,0,17,0,0,0,0,0.025159,0,134,0.001155,1,238,0,0.070485
1878921240,,,0,2,2,0,2,2,1,1,1,0,0,0.034707,134,0.000142,1,347,0,0
275757944,,,0,1,1,0,1,1,1,1,1,0,0,0.001345,134,0.000142,1,348,0,0
290726218,,,0,5,5,0,7,7,1,1,1,0,0,0.038773,134,0.000142,1,350,0,0
2964402359,,,0,2,2,0,2,2,1,1,1,0,0,0.00739,134,0.000142,1,351,0,0
3004259093,,,0,1,1,0,1,1,1,1,1,0,0,0.001345,134,0.000142,1,352,0,0
3653666482,,,0,5,5,0,5,5,1,1,1,0,0,0.078776,134,0.000142,1,353,0,0
704639319517077504,,,0,2,2,0,2,2,1,1,1,0,0,0.011486,134,0.000142,1,354,0,0
756859273435635712,,,0,1,1,0,1,1,1,1,1,0,0,0.001345,134,0.000142,1,355,0,0
798187740240183296,,,0,2,2,0,2,2,1,1,1,0,0,0.011486,134,0.000142,1,356,0,0
868458200030490624,,,0,3,3,0,5,5,1,1,1,0,0,0.063925,134,0.000142,1,357,0,0
890217086169042946,,,0,1,1,0,1,1,1,1,1,0,0,0.001345,134,0.000142,1,358,0,0
910600482833477632,,,0,1,1,0,1,1,1,1,1,0,0,0.001345,134,0.000142,1,359,0,0
2498207778,,,0,3,3,0,7,7,1,1,1,0,0,0.000019,78,0.000142,1,361,0,0
aibecker,,,2,0,2,2,0,2,0,0,0,0,0.000083,0,78,0.000199,1,200,0,0.008811
1085664344,,,0,1,1,0,1,1,1,1,1,0,0,0,9,0.000142,10,363,0,0
airjibeer,,,1,0,1,1,0,1,0,0,0,0,0,0,9,0.000262,10,362,0,0.004405
1853949835,,,0,1,1,0,1,1,1,1,1,0,0,0,53,0.000142,1,365,0,0
ak_hipp,,,3,0,3,3,0,3,0,0,0,0,0.000001,0,53,0.000443,1,364,0,0.013216
471490791,,,0,2,2,0,2,2,1,1,1,0,0,0.000026,53,0.000142,1,366,0,0
710961158346379265,,,0,1,1,0,1,1,1,1,1,0,0,0,53,0.000142,1,367,0,0
3709793117,,,0,7,7,0,8,8,1,1,1,0,0,0.000359,78,0.000142,1,373,0,0
alexhoffmann,,,1,0,1,1,0,1,0,0,0,0,0.000019,0,78,0.000157,1,372,0,0.004405
2958439996,,,0,1,1,0,1,1,1,1,1,0,0,0,10,0.000142,11,375,0,0
alexwitzleben,,,1,0,1,1,0,1,0,0,0,0,0,0,10,0.000262,11,374,0,0.004405
156912564,,,0,4,4,0,4,4,1,1,1,0,0,0.027563,134,0.000142,1,376,0,0
alice_weidel,,,40,0,40,40,0,40,0,0,0,0,0.05319,0,134,0.002794,1,24,0,0.176211
1876546027,,,0,2,2,0,2,2,1,1,1,0,0,0.032062,134,0.000142,1,377,0,0
222530033,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,378,0,0
2246898978,,,0,2,2,0,2,2,1,1,1,0,0,0.006879,134,0.000142,1,379,0,0
2535401947,,,0,5,5,0,5,5,1,1,1,0,0,0.02643,134,0.000142,1,380,0,0
259707637,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,381,0,0
265392958,,,0,8,8,0,9,9,1,1,1,0,0,0.061175,134,0.000142,1,383,0,0
2757104181,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,384,0,0
2962342181,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,385,0,0
2975145807,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,386,0,0
3015590357,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,387,0,0
3650530877,,,0,2,2,0,2,2,1,1,1,0,0,0.014581,134,0.000142,1,388,0,0
3700114156,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,389,0,0
427452951,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,390,0,0
48987958,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,391,0,0
574747618,,,0,2,2,0,2,2,1,1,1,0,0,0.015978,134,0.000142,1,392,0,0
719954820245950464,,,0,5,5,0,6,6,1,1,1,0,0,0.011109,134,0.000142,1,393,0,0
719975730784956416,,,0,7,7,0,7,7,1,1,1,0,0,0.046994,134,0.000142,1,394,0,0
757382733748379648,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,395,0,0
760547840879955969,,,0,2,2,0,2,2,1,1,1,0,0,0.036205,134,0.000142,1,396,0,0
787645990018908160,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,397,0,0
810991831437758465,,,0,2,2,0,2,2,1,1,1,0,0,0.032062,134,0.000142,1,398,0,0
832823154435293184,,,0,1,1,0,1,1,1,1,1,0,0,0.002844,134,0.000142,1,399,0,0
849060114388705280,,,0,6,6,0,8,8,1,1,1,0,0,0.033097,134,0.000142,1,400,0,0
