"Target","Source","n","Weight"
"__redcat","100458065",1,1
"__redcat","905920560",1,1
"_8sam","120785944",1,1
"_8sam","1381506751992893440",1,1
"_8sam","1388547558688051204",1,1
"_8sam","2686656083",1,1
"_8sam","720393169230127105",1,1
"_anke_v","15376344",1,1
"_ansgar","855138162125012992",1,1
"_awatchfuleye_","1234489667380293632",1,1
"_awatchfuleye_","1377953852239056897",1,1
"_awatchfuleye_","731149640175865856",1,1
"_klimanotstand_","1392617011",1,1
"_klimanotstand_","29679954",1,1
"_klimanotstand_","64666298",2,2
"_klimanotstand_","997395326922354688",1,1
"_lautes_denken","100458065",2,2
"_lautes_denken","1085214811137474560",1,1
"_lautes_denken","1158904881673101313",1,1
"_lautes_denken","1408006597134127105",1,1
"_lautes_denken","1419302435869401091",1,1
"_lautes_denken","22715613",1,1
"_lautes_denken","2344913904",1,1
"_lautes_denken","292330204",1,1
"_lautes_denken","3208594605",1,1
"_lautes_denken","332548751",1,1
"_lautes_denken","432028832",1,1
"_lautes_denken","4786341809",1,1
"_lautes_denken","507057014",1,1
"_lautes_denken","724526379073691648",1,1
"_lautes_denken","821715052759760896",2,2
"_lautes_denken","894207135562772481",1,1
"_lautes_denken","915102482115723264",4,4
"_lautes_denken","922811664994656256",1,1
"_lautes_denken","927285995296436225",1,1
"_markkoenig","3414921",1,1
"_martinhagen","1096456912479100928",1,1
"_martinhagen","113984601",1,1
"_martinhagen","1152803825385967618",1,1
"_martinhagen","1209028515250745345",1,1
"_martinhagen","1241023300647759875",1,1
"_martinhagen","1257351955317510144",1,1
"_martinhagen","1298977173789761538",1,1
"_martinhagen","1325940815592648704",1,1
"_martinhagen","1409915711774933000",1,1
"_martinhagen","1430316350837248000",1,1
"_martinhagen","1677729661",1,1
"_martinhagen","19163857",1,1
"_martinhagen","20301087",1,1
"_martinhagen","2298274700",1,1
"_martinhagen","3233628263",1,1
"_martinhagen","4059930622",1,1
"_martinhagen","52673670",1,1
"_martinhagen","578891627",1,1
"_martinhagen","764702600965005312",1,1
"_martinhagen","801876068772806656",1,1
"_martinhagen","817134513390321664",1,1
"_martinhagen","851441162",1,1
"_martinhagen","855398052659679233",1,1
"_martinhagen","921694906627878912",1,1
"_martinhagen","945354510",1,1
"_martinhagen","962206740652707840",1,1
"_paulschaf","1232006163342004226",1,1
"_prenico","1232985274382266368",1,1
"0schneewitchen","4794903482",1,1
"1789james","1228673833273561089",1,1
"1789james","1235658323451576321",1,1
"1789james","1259440570956685312",1,1
"1789james","1352144865895862273",1,1
"1789james","1352701186185564160",1,1
"1789james","1420280788436897793",1,1
"1789james","4762556723",1,1
"1789james","805376084648796160",1,1
"1789james","886193880810610689",1,1
"1789james","964859056262471680",1,1
"1887henne","830850546227621888",1,1
"1vomo","1238948194295459850",1,1
"1westconsult","270362730",1,1
"1westconsult","3131565221",1,1
"2020_beatrice","72577362",1,1
"21jumpstr","826341599856594944",1,1
"360compass","370830114",1,1
"3mausimhaus","250106155",1,1
"4heiner","1324737805474562051",1,1
"4heiner","3323309554",1,1
"4heiner","4705196303",1,1
"4heiner","864986260384997378",1,1
"4heiner","911605802376540160",1,1
"4solidarieta","933486024378011648",1,1
"688i","126724920",1,1
"688i","922975166",1,1
"85ulm","1246746171760152578",1,1
"85ulm","1294980773053964289",1,1
"85ulm","1339111346470854657",1,1
"85ulm","1357621508710014977",1,1
"85ulm","1369268314015494147",2,2
"85ulm","1381263998436392962",1,1
"85ulm","1382670939947687937",1,1
"85ulm","1409915711774933000",2,2
"85ulm","1423186284588191744",1,1
"85ulm","1435489797410377730",1,1
"88dynamis","1250689474595561473",1,1
"8bitsound","582243157",1,1
"abidinyoleri","417465631",1,1
"abidinyoleri","482103651",1,1
"abnonhar","1369268314015494147",1,1
"abnonhar","1409915711774933000",2,2
"abnonhar","1432403003399680008",1,1
"abschiebung_nrw","1048150281551302656",1,1
"abschiebung_nrw","1433000835148046342",1,1
"ace_autoclub","2466260730",1,1
"adamtios","1012947302540042240",1,1
"adamtios","1248571182246440960",1,1
"adamtios","1323263512605503488",1,1
"adamtios","1349008270611111944",1,1
"adamtios","1355970211246174214",1,1
"adamtios","1378975967046144002",1,1
"adamtios","1406041054512562178",1,1
"adamtios","1919461872",1,1
"adamtios","2755743892",1,1
"adamtios","3049409848",1,1
"adamtios","412365284",1,1
"adamtios","726157470461218816",1,1
"adamtios","960847116808736770",1,1
"adamtios","965535658356953094",1,1
"adamtios","997395326922354688",1,1
"adurchreise","3130731489",1,1
"adurchreise","816717166900809729",1,1
"aeskulappirat","1152255280811597824",1,1
"aevrfegr","533007745",1,1
"af_will","1010945933704683520",1,1
"af_will","101548192",1,1
"af_will","1180416862460481536",1,1
"af_will","1256691912",1,1
"af_will","1272086709002526720",1,1
"af_will","1395677153459638277",1,1
"af_will","141338362",1,1
"af_will","1636270584",1,1
"af_will","1737187820",1,1
"af_will","269254578",1,1
"af_will","2785687478",1,1
"af_will","314157950",1,1
"af_will","390191961",1,1
"af_will","66625688",1,1
"af_will","803818623940882432",1,1
"af_will","886338563062812674",1,1
"af_will","88887465",1,1
"af_will","989875025028243456",1,1
"afd","1013805067315621888",1,1
"afd","1045240457821933568",1,1
"afd","1047495256437149698",1,1
"afd","1057339579785723910",1,1
"afd","1064269168072159232",1,1
"afd","1071737698732380160",1,1
"afd","107241204",1,1
"afd","1073321411375230976",1,1
"afd","1098929469711179777",1,1
"afd","1112306856704249857",1,1
"afd","1114770367",1,1
"afd","1118901879189188610",1,1
"afd","113921133",1,1
"afd","1141125396919980033",1,1
"afd","1144628570574282755",1,1
"afd","1146497652802117632",1,1
"afd","1147682717888405504",2,2
"afd","1153326441628651521",1,1
"afd","1158642693544775681",1,1
"afd","1161324369798488064",1,1
"afd","1168874990478995457",1,1
"afd","1171150141434277890",1,1
"afd","1176352418",1,1
"afd","1182618758864609280",1,1
"afd","1186010813712257025",1,1
"afd","1209496723757895680",1,1
"afd","1210993208219488257",1,1
"afd","1212810706443091970",1,1
"afd","1213004757440163840",1,1
"afd","1213134650534547457",1,1
"afd","1216817923815346177",1,1
"afd","1226480945534046208",1,1
"afd","1228673833273561089",2,2
"afd","123010230",1,1
"afd","1232810499118682125",1,1
"afd","1238751573897097216",1,1
"afd","1238822487208669185",1,1
"afd","1246873834759819266",1,1
"afd","1248887845030432768",1,1
"afd","1252195152266956800",1,1
"afd","1258094811535548416",1,1
"afd","1259440570956685312",1,1
"afd","1261610548522881029",1,1
"afd","1265171136599461894",1,1
"afd","1270646775565750272",1,1
"afd","1272086709002526720",1,1
"afd","1284907845289377795",1,1
"afd","1302634236852219906",1,1
"afd","1307714046641176577",1,1
"afd","1309039420721508355",1,1
"afd","1310272655661162497",2,2
"afd","1314556487516160000",1,1
"afd","1324717908354805761",1,1
"afd","1328837448080764930",1,1
"afd","1330820129165357056",1,1
"afd","1334295828",3,3
"afd","1343444600564948992",1,1
"afd","1352529998758948864",1,1
"afd","1357228237",1,1
"afd","1358866084309434370",1,1
"afd","1361656523106226176",1,1
"afd","1369291103795621889",1,1
"afd","1372957297819942915",1,1
"afd","1375039512",2,2
"afd","1375833183405629450",1,1
"afd","1383116503688548352",1,1
"afd","1384893513960235009",1,1
"afd","1384964242206597120",1,1
"afd","1387079875148886022",1,1
"afd","1388575208609665026",1,1
"afd","1393686023989874701",1,1
