Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
100458065,,,0,2,2,0,2,2,1,1,1,0,0,0.000559,48,0.00008,0,2,0,0
__redcat,,,2,0,2,2,0,2,0,0,0,0,0.000021,0,48,0.000148,0,1,0,0.001768
905920560,,,0,2,2,0,2,2,1,1,1,0,0,0.000153,48,0.00008,0,4,0,0
1230581385959804930,,,0,1,1,0,1,1,1,1,1,0,0,0,18,0.00008,0,6,0,0
_apuleius,,,2,0,2,2,0,2,0,0,0,0,0.000005,0,18,0.000158,0,5,0,0.001768
1833662454,,,0,7,7,0,7,7,1,1,1,0,0,0.000153,18,0.00008,0,13,0,0
1147221536077754368,,,0,1,1,0,1,1,1,1,1,0,0,0.000031,48,0.00008,0,15,0,0
_klimanotstand_,,,6,0,6,6,0,6,0,0,0,0,0.001034,0,48,0.000345,0,14,0,0.005305
1241349540659281920,,,0,3,3,0,3,3,1,1,1,0,0,0.030162,48,0.00008,0,17,0,0
1359483265246244865,,,0,1,1,0,1,1,1,1,1,0,0,0.000031,48,0.00008,0,18,0,0
706138485,,,0,16,16,0,20,20,1,1,1,0,0,0.004584,48,0.00008,0,33,0,0
77998228,,,0,2,2,0,2,2,1,1,1,0,0,0.000031,48,0.00008,0,35,0,0
921347171923963904,,,0,1,1,0,1,1,1,1,1,0,0,0.000031,48,0.00008,0,36,0,0
1261339568189714438,,,0,4,4,0,4,4,1,1,1,0,0,0.030294,48,0.00008,0,39,0,0
_lautes_denken,,,5,0,5,6,0,6,0,0,0,0,0.002744,0,48,0.000247,0,38,0,0.004421
1408006597134127105,,,0,1,1,0,1,1,1,1,1,0,0,0.000081,48,0.00008,0,40,0,0
2827183882,,,0,2,2,0,2,2,1,1,1,0,0,0.00014,48,0.00008,0,42,0,0
922811664994656256,,,0,2,2,0,2,2,1,1,1,0,0,0.029655,48,0.00008,0,43,0,0
997395326922354688,,,0,9,9,0,10,10,1,1,1,0,0,0.03232,48,0.00008,0,48,0,0
3414921,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.00008,1,50,0,0
_markkoenig,,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.000148,1,49,0,0.000884
244484654,,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.00008,2,52,0,0
_mogblog,,,1,0,1,1,0,1,0,0,0,0,0,0,1,0.000148,2,51,0,0.000884
126978307,,,0,7,7,0,7,7,1,1,1,0,0,0.000399,48,0.00008,0,59,0,0
_stefankoehler_,,,1,0,1,1,0,1,0,0,0,0,0.000012,0,48,0.00009,0,58,0,0.000884
2877990820,,,0,4,4,0,4,4,1,1,1,0,0,0.000908,48,0.00008,0,61,0,0
0thessa,,,1,0,1,1,0,1,0,0,0,0,0.000027,0,48,0.000097,0,60,0,0.000884
830850546227621888,,,0,6,6,0,6,6,1,1,1,0,0,0.000145,18,0.00008,0,67,0,0
1887henne,,,1,0,1,1,0,1,0,0,0,0,0.000004,0,18,0.000092,0,66,0,0.000884
418698206,,,0,1,1,0,1,1,1,1,1,0,0,0,18,0.00008,0,69,0,0
1984magazin,,,3,0,3,3,0,3,0,0,0,0,0.000008,0,18,0.000219,0,68,0,0.002653
51101157,,,0,1,1,0,1,1,1,1,1,0,0,0,18,0.00008,0,70,0,0
816717166900809729,,,0,15,15,0,23,23,1,1,1,0,0,0.000278,18,0.00008,0,82,0,0
894207135562772481,,,0,8,8,0,10,10,1,1,1,0,0,0.000207,48,0.00008,0,90,0,0
1acoolart,,,1,0,1,1,0,1,0,0,0,0,0.000006,0,48,0.000087,0,89,0,0.000884
270362730,,,0,4,4,0,4,4,1,1,1,0,0,0.000033,18,0.00008,0,95,0,0
1westconsult,,,2,0,2,2,0,2,0,0,0,0,0.000003,0,18,0.000131,0,94,0,0.001768
3131565221,,,0,2,2,0,2,2,1,1,1,0,0,0.000059,18,0.00008,0,96,0,0
72577362,,,0,1,1,0,1,1,1,1,1,0,0,0,2,0.00008,3,98,0,0
2020_beatrice,,,1,0,1,1,0,1,0,0,0,0,0,0,2,0.000148,3,97,0,0.000884
370830114,,,0,1,1,0,1,1,1,1,1,0,0,0,3,0.00008,4,100,0,0
360compass,,,1,0,1,1,0,1,0,0,0,0,0,0,3,0.000148,4,99,0,0.000884
1536245851,,,0,1,1,0,1,1,1,1,1,0,0,0,4,0.00008,5,102,0,0
6800info,,,1,0,1,1,0,1,0,0,0,0,0,0,4,0.000148,5,101,0,0.000884
1440729324525555725,,,0,1,1,0,1,1,1,1,1,0,0,0,5,0.00008,6,104,0,0
7u83,,,1,0,1,1,0,1,0,0,0,0,0,0,5,0.000148,6,103,0,0.000884
17448796,,,0,1,1,0,1,1,1,1,1,0,0,0,6,0.00008,7,106,0,0
a_skistar,,,4,0,4,4,0,4,0,0,0,0,0,0,6,0.000353,7,105,0,0.003537
2328562887,,,0,1,1,0,1,1,1,1,1,0,0,0,6,0.00008,7,107,0,0
63448298,,,0,1,1,0,1,1,1,1,1,0,0,0,6,0.00008,7,108,0,0
761755909,,,0,1,1,0,1,1,1,1,1,0,0,0,6,0.00008,7,109,0,0
417465631,,,0,1,1,0,1,1,1,1,1,0,0,0,7,0.00008,8,111,0,0
abidinyoleri,,,1,0,1,1,0,1,0,0,0,0,0,0,7,0.000148,8,110,0,0.000884
1048150281551302656,,,0,1,1,0,1,1,1,1,1,0,0,0,8,0.00008,9,113,0,0
abschiebung_nrw,,,2,0,2,2,0,2,0,0,0,0,0,0,8,0.000216,9,112,0,0.001768
1433000835148046342,,,0,1,1,0,1,1,1,1,1,0,0,0,8,0.00008,9,114,0,0
1102676804232450048,,,0,3,3,0,5,5,1,1,1,0,0,0.000077,18,0.00008,0,116,0,0
absolventin20,,,20,0,20,25,0,25,0,0,0,0,0.000031,0,18,0.000749,0,115,0,0.017683
1172824510061514753,,,0,4,4,0,4,4,1,1,1,0,0,0.000073,18,0.00008,0,119,0,0
1235574921604055040,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,18,0.00008,0,120,0,0
1319755981564293120,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,18,0.00008,0,121,0,0
1320680588,,,0,5,5,0,5,5,1,1,1,0,0,0.000101,18,0.00008,0,122,0,0
1324627158514487300,,,0,6,6,0,6,6,1,1,1,0,0,0.000146,18,0.00008,0,125,0,0
