"Target","Source","n","Weight"
"__redcat","100458065",1,1
"__redcat","905920560",1,1
"_apuleius","1230581385959804930",1,1
"_apuleius","1833662454",1,1
"_klimanotstand_","1147221536077754368",1,1
"_klimanotstand_","1241349540659281920",1,1
"_klimanotstand_","1359483265246244865",1,1
"_klimanotstand_","706138485",1,1
"_klimanotstand_","77998228",1,1
"_klimanotstand_","921347171923963904",1,1
"_lautes_denken","1261339568189714438",1,1
"_lautes_denken","1408006597134127105",1,1
"_lautes_denken","2827183882",1,1
"_lautes_denken","922811664994656256",1,1
"_lautes_denken","997395326922354688",2,2
"_markkoenig","3414921",1,1
"_mogblog","244484654",1,1
"_stefankoehler_","126978307",1,1
"0thessa","2877990820",1,1
"1887henne","830850546227621888",1,1
"1984magazin","418698206",1,1
"1984magazin","51101157",1,1
"1984magazin","816717166900809729",1,1
"1acoolart","894207135562772481",1,1
"1westconsult","270362730",1,1
"1westconsult","3131565221",1,1
"2020_beatrice","72577362",1,1
"360compass","370830114",1,1
"6800info","1536245851",1,1
"7u83","1440729324525555725",1,1
"a_skistar","17448796",1,1
"a_skistar","2328562887",1,1
"a_skistar","63448298",1,1
"a_skistar","761755909",1,1
"abidinyoleri","417465631",1,1
"abschiebung_nrw","1048150281551302656",1,1
"abschiebung_nrw","1433000835148046342",1,1
"absolventin20","1102676804232450048",3,3
"absolventin20","1172824510061514753",1,1
"absolventin20","1235574921604055040",1,1
"absolventin20","1319755981564293120",1,1
"absolventin20","1320680588",1,1
"absolventin20","1324627158514487300",1,1
"absolventin20","1331735838334521345",1,1
"absolventin20","1334223919964971008",1,1
"absolventin20","1350807318708056064",2,2
"absolventin20","1379776877724905473",1,1
"absolventin20","1390714492066091014",1,1
"absolventin20","1404412399453671428",1,1
"absolventin20","1405784797809725441",3,3
"absolventin20","1568231288",1,1
"absolventin20","2193943965",1,1
"absolventin20","31368952",1,1
"absolventin20","827137320851800064",1,1
"absolventin20","883782036",1,1
"absolventin20","88887465",1,1
"absolventin20","971344694591610881",1,1
"ace_autoclub","2466260730",1,1
"adamtios","221865870",1,1
"adurchreise","3130731489",1,1
"adurchreise","816717166900809729",1,1
"af_will","1010945933704683520",1,1
"af_will","1096754851483213824",1,1
"af_will","1119922741",1,1
"af_will","1226156830830755840",1,1
"af_will","1285616420441776128",1,1
"af_will","1386239748608507904",1,1
"af_will","1737187820",1,1
"af_will","45612707",1,1
"af_will","98468608",1,1
"afd","1047495256437149698",1,1
"afd","107241204",1,1
"afd","1147682717888405504",1,1
"afd","1210993208219488257",1,1
"afd","1228673833273561089",1,1
"afd","123010230",1,1
"afd","1253946773904687104",1,1
"afd","1285616420441776128",1,1
"afd","1307714046641176577",1,1
"afd","1310272655661162497",1,1
"afd","1324717908354805761",1,1
"afd","1328837448080764930",1,1
"afd","1357228237",1,1
"afd","1369291103795621889",1,1
"afd","1375039512",1,1
"afd","1384893513960235009",2,2
"afd","1395677153459638277",1,1
"afd","1420521316940136452",1,1
"afd","1435142406949806083",1,1
"afd","180926336",1,1
"afd","2185151490",1,1
"afd","2463582956",1,1
"afd","2785687478",1,1
"afd","2887896783",1,1
"afd","2941299257",1,1
"afd","3362871814",1,1
"afd","3449333603",1,1
"afd","3717461056",1,1
"afd","383215422",1,1
"afd","4549158436",1,1
"afd","810991831437758465",1,1
"afd","816717166900809729",1,1
"afd","827136076284297221",1,1
"afd","875326787399626752",1,1
"afd","889882881518120960",1,1
"afd","907382831130857472",1,1
"afd_bv_hh_nord","2187014198",1,1
"afd_gruppe_ltsh","1026043052358549504",2,2
"afd_gruppe_ltsh","1206167074697105410",1,1
"afd_gruppe_ltsh","1228673833273561089",1,1
"afd_gruppe_ltsh","1234094720831442945",1,1
"afd_gruppe_ltsh","1258094811535548416",1,1
"afd_gruppe_ltsh","1259440570956685312",2,2
"afd_gruppe_ltsh","1303695635540062208",1,1
"afd_gruppe_ltsh","1416106780548083720",1,1
"afd_gruppe_ltsh","1417128986736484355",1,1
"afd_gruppe_ltsh","1707755058",1,1
"afd_gruppe_ltsh","2463582956",1,1
"afd_gruppe_ltsh","2475320269",1,1
"afd_gruppe_ltsh","2583033765",1,1
"afd_gruppe_ltsh","2757104181",1,1
"afd_gruppe_ltsh","277459070",1,1
"afd_gruppe_ltsh","2817931146",1,1
"afd_gruppe_ltsh","428445865",1,1
"afd_gruppe_ltsh","4878483879",1,1
"afd_gruppe_ltsh","723119393689862146",1,1
"afd_gruppe_ltsh","725283922087694336",1,1
"afd_gruppe_ltsh","788158925740838913",1,1
"afd_gruppe_ltsh","823228525197008896",1,1
"afd_gruppe_ltsh","910128121571168256",1,1
"afd_gruppe_ltsh","936990146867683328",1,1
"afd_gruppe_ltsh","958404568844587009",1,1
"afd_wallduern","1221022446616285184",1,1
"afd_wallduern","1259440570956685312",1,1
"afdebe","1232006163342004226",1,1
"afdebe","1240990956310102016",1,1
"afdebe","1259440570956685312",1,1
"afdebe","1381921667530829827",1,1
"afdebe","1383730650620989443",1,1
"afdebe","1434132417414156292",1,1
"afdebe","1436865103475974145",1,1
"afdebe","2463582956",1,1
"afdebe","545888867",1,1
"afdebe","910449700146434048",1,1
"afdlindemann","1079033600765501440",1,1
"afdlindemann","1098929469711179777",1,1
"afdlindemann","1308640118",1,1
"afdlindemann","1331735838334521345",1,1
"afdlindemann","1332349525219041281",1,1
"afdlindemann","1439860744502272000",1,1
"afdlindemann","167790050",1,1
"afdlindemann","1833662454",1,1
"afdlindemann","2735743846",1,1
"afdlindemann","3053231578",1,1
"afdlindemann","3352918955",1,1
"afdlindemann","3436837222",1,1
"afdlindemann","4075561467",1,1
"afdlindemann","816717166900809729",1,1
"afdlindemann","828393838599352320",1,1
"afdlindemann","973916805097054210",1,1
"ah_von_oh","838113163430232064",2,2
"ah_von_oh","985471159427887105",1,1
"akress84","1145781792634527745",1,1
"akress84","1152255280811597824",1,1
"akress84","1171035910617686018",1,1
"akress84","1236801838755778561",1,1
"akress84","1435465406",1,1
"akress84","21782072",1,1
"akress84","265492248",1,1
"akress84","3000513586",1,1
"akress84","3741301829",1,1
"akress84","388411827",1,1
"akress84","42641395",1,1
"akress84","490467820",1,1
"akress84","71898701",1,1
"akress84","966167528",1,1
"alex_schweitzer","267602505",1,1
"alexand20542389","1136341138598760450",1,1
"alexand20542389","1144296895298322433",2,2
"alexand20542389","1176166525037944833",1,1
"alexand20542389","1192882727906877441",1,1
"alexand20542389","1195691059852001282",1,1
"alexand20542389","1230332400527429633",1,1
"alexand20542389","1251593287141646336",1,1
"alexand20542389","1253267702384406529",1,1
"alexand20542389","1318226591147839489",1,1
"alexand20542389","1348350305767972865",1,1
"alexand20542389","1369727690",1,1
"alexand20542389","1374000020941312009",1,1
"alexand20542389","1396795352972505088",1,1
"alexand20542389","1411723101029666819",1,1
"alexand20542389","1427331712124694529",1,1
"alexand20542389","24367622",1,1
"alexand20542389","2690503151",1,1
"alexand20542389","29953189",1,1
"alexand20542389","342419245",1,1
"alexand20542389","351719431",1,1
"alexand20542389","378721774",1,1
"alexand20542389","4904619394",1,1
"alexand20542389","52805809",1,1
"alexand20542389","70619205",1,1
"alexand20542389","782498645480468480",2,2
"alexand20542389","793400734104641537",1,1
"alexand20542389","855315613811527681",1,1
"alexand20542389","883454439478222848",1,1
"alexand20542389","90149475",3,3
"alexand20542389","915102482115723264",1,1
