"Target","Source","n","Weight"
"","353520385",2,2
"_kraftsebastian","17895011",1,1
"_kraftsebastian","40980514",1,1
"_macmike","2502606786",1,1
"_macmike","4220916513",1,1
"_macmike","836338243364876290",1,1
"_phoeni","68972019",1,1
"0930uhr","259638173",1,1
"100promensch","710812679695417344",1,1
"100promensch","908691835492732930",1,1
"451_grad","1453575974",1,1
"451_grad","2561586612",1,1
"451_grad","3018934037",1,1
"451_grad","871293586633109504",1,1
"688i","20036281",1,1
"688i","24927392",1,1
"688i","51749563",1,1
"688i","614142790",1,1
"a_leimbach","175159903",1,1
"a_leimbach","346677368",1,1
"a_leimbach","371189071",1,1
"a_skistar","1022177947",1,1
"a_skistar","182404196",1,1
"a_skistar","388130788",1,1
"a_skistar","53005406",1,1
"aangelo_ge","1263990463",1,1
"abc321xyblabla","731561651917496321",1,1
"absyst","2999837297",1,1
"absyst","68870186",1,1
"adelhoefer","52431948",1,1
"adivonpoes","899212735770218497",1,1
"afd_bv_hh_nord","1229528486",1,1
"afd_bv_hh_nord","1337303960",1,1
"afd_bv_hh_nord","1346845500",1,1
"afd_bv_hh_nord","139424337",1,1
"afd_bv_hh_nord","1397275166",1,1
"afd_bv_hh_nord","1552982012",1,1
"afd_bv_hh_nord","1585692482",1,1
"afd_bv_hh_nord","2285705570",1,1
"afd_bv_hh_nord","2389172415",1,1
"afd_bv_hh_nord","259638173",1,1
"afd_bv_hh_nord","2635598825",1,1
"afd_bv_hh_nord","2773112420",1,1
"afd_bv_hh_nord","2966118263",1,1
"afd_bv_hh_nord","309712179",1,1
"afd_bv_hh_nord","3119096980",1,1
"afd_bv_hh_nord","3161359328",1,1
"afd_bv_hh_nord","3341138776",1,1
"afd_bv_hh_nord","3376139050",1,1
"afd_bv_hh_nord","340541943",1,1
"afd_bv_hh_nord","382248824",1,1
"afd_bv_hh_nord","411815636",1,1
"afd_bv_hh_nord","42291979",1,1
"afd_bv_hh_nord","4569352401",1,1
"afd_bv_hh_nord","4725617597",1,1
"afd_bv_hh_nord","528734391",1,1
"afd_bv_hh_nord","533330971",1,1
"afd_bv_hh_nord","736796494884442112",1,1
"afd_bv_hh_nord","745255669",1,1
"afd_bv_hh_nord","748257922422026242",1,1
"afd_bv_hh_nord","757151613970739200",1,1
"afd_bv_hh_nord","757584921267433472",1,1
"afd_bv_hh_nord","757945606778281984",1,1
"afd_bv_hh_nord","803306131099623425",1,1
"afd_bv_hh_nord","810979706946387969",1,1
"afd_bv_hh_nord","821024924517199872",1,1
"afd_bv_hh_nord","836338243364876290",1,1
"afd_bv_hh_nord","846405093708763136",1,1
"afd_bv_hh_nord","863708302584184832",1,1
"afd_bv_hh_nord","864983682196676608",1,1
"afd_bv_hh_nord","878654234",1,1
"afd_bv_hh_nord","907182471606927361",1,1
"afd_bv_hh_nord","907669849945645058",1,1
"afd_bv_hh_nord","909172022651113473",1,1
"afd_hamburg","887334582634328065",1,1
"afd_hd","1009250894",1,1
"afd_hd","1196300142",1,1
"afd_hd","1375039512",1,1
"afd_hd","1552982012",1,1
"afd_hd","2270148584",1,1
"afd_hd","259638173",1,1
"afd_hd","2841511613",1,1
"afd_hd","288913727",1,1
"afd_hd","3898234097",1,1
"afd_hd","52707672",1,1
"afd_hd","816717166900809729",1,1
"afd_hd","855824260715118594",1,1
"afd_hd","887334582634328065",5,5
"afd_hd","889882881518120960",1,1
"afd_hd","899212735770218497",2,2
"afd_hd","903869012911816704",1,1
"afd_hd","907347689846833152",1,1
"afdbochum","2688079904",1,1
"afdbochum","909172022651113473",1,1
"afdlindemann","125920442",1,1
"afdlindemann","1446217872",1,1
"afdlindemann","21856040",1,1
"afdlindemann","2285705570",1,1
"afdlindemann","290726218",1,1
"afdlindemann","299357728",1,1
"afdlindemann","2999837297",1,1
"afdlindemann","3653666482",1,1
