Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
17895011,,,0,2,2,0,2,2,1,1,1,0,0,0.000227,0,2,0,0
_kraftsebastian,,,2,0,2,2,0,2,0,0,0,0,0,0.000517,0,1,0,0.011429
40980514,,,0,1,1,0,1,1,1,1,1,0,0,0.000227,0,3,0,0
2502606786,,,0,7,7,0,8,8,1,1,1,0,91,0.000227,0,11,0,0
_macmike,,,3,0,3,3,0,3,0,0,0,0,91,0.000466,0,10,0,0.017143
4220916513,,,0,1,1,0,1,1,1,1,1,0,91,0.000227,0,12,0,0
836338243364876290,,,0,7,7,0,9,9,1,1,1,0,91,0.000227,0,18,0,0
68972019,,,0,1,1,0,1,1,1,1,1,0,1,0.000227,1,20,0,0
_phoeni,,,1,0,1,1,0,1,0,0,0,0,1,0.000421,1,19,0,0.005714
259638173,,,0,11,11,0,11,11,1,1,1,0,91,0.000227,0,27,0,0
0930uhr,,,1,0,1,1,0,1,0,0,0,0,91,0.000245,0,26,0,0.005714
710812679695417344,,,0,1,1,0,1,1,1,1,1,0,2,0.000227,2,29,0,0
100promensch,,,2,0,2,2,0,2,0,0,0,0,2,0.000614,2,28,0,0.011429
908691835492732930,,,0,1,1,0,1,1,1,1,1,0,2,0.000227,2,30,0,0
1453575974,,,0,4,4,0,5,5,1,1,1,0,91,0.000227,0,35,0,0
451_grad,,,4,0,4,4,0,4,0,0,0,0,91,0.000749,0,34,0,0.022857
2561586612,,,0,1,1,0,1,1,1,1,1,0,91,0.000227,0,36,0,0
3018934037,,,0,2,2,0,2,2,1,1,1,0,91,0.000227,0,38,0,0
871293586633109504,,,0,1,1,0,1,1,1,1,1,0,91,0.000227,0,39,0,0
20036281,,,0,1,1,0,1,1,1,1,1,0,16,0.000227,0,41,0,0
688i,,,4,0,4,4,0,4,0,0,0,0,16,0.00062,0,40,0,0.022857
24927392,,,0,3,3,0,3,3,1,1,1,0,16,0.000227,0,44,0,0
51749563,,,0,2,2,0,2,2,1,1,1,0,16,0.000227,0,45,0,0
614142790,,,0,4,4,0,5,5,1,1,1,0,70,0.000227,0,49,0,0
175159903,,,0,1,1,0,1,1,1,1,1,0,3,0.000227,3,51,0,0
a_leimbach,,,3,0,3,3,0,3,0,0,0,0,3,0.000807,3,50,0,0.017143
346677368,,,0,1,1,0,1,1,1,1,1,0,3,0.000227,3,52,0,0
371189071,,,0,1,1,0,1,1,1,1,1,0,3,0.000227,3,53,0,0
1022177947,,,0,3,3,0,6,6,1,1,1,0,70,0.000227,0,57,0,0
a_skistar,,,4,0,4,4,0,4,0,0,0,0,70,0.000694,0,56,0,0.022857
182404196,,,0,1,1,0,1,1,1,1,1,0,70,0.000227,0,58,0,0
388130788,,,0,1,1,0,1,1,1,1,1,0,70,0.000227,0,59,0,0
53005406,,,0,4,4,0,4,4,1,1,1,0,70,0.000227,0,63,0,0
1263990463,,,0,2,2,0,2,2,1,1,1,0,49,0.000227,4,66,0,0
aangelo_ge,,,1,0,1,1,0,1,0,0,0,0,49,0.000324,4,65,0,0.005714
731561651917496321,,,0,5,5,0,5,5,1,1,1,0,91,0.000227,0,69,0,0
abc321xyblabla,,,1,0,1,1,0,1,0,0,0,0,91,0.000266,0,68,0,0.005714
2999837297,,,0,7,7,0,7,7,1,1,1,0,91,0.000227,0,74,0,0
absyst,,,2,0,2,2,0,2,0,0,0,0,91,0.000319,0,73,0,0.011429
68870186,,,0,2,2,0,3,3,1,1,1,0,91,0.000227,0,76,0,0
52431948,,,0,1,1,0,1,1,1,1,1,0,4,0.000227,5,78,0,0
adelhoefer,,,1,0,1,1,0,1,0,0,0,0,4,0.000421,5,77,0,0.005714
899212735770218497,,,0,14,14,0,22,22,1,1,1,0,91,0.000227,0,88,0,0
adivonpoes,,,1,0,1,1,0,1,0,0,0,0,91,0.000236,0,87,0,0.005714
1229528486,,,0,1,1,0,1,1,1,1,1,0,91,0.000227,0,89,0,0
afd_bv_hh_nord,,,43,0,43,43,0,43,0,0,0,0,91,0.004746,0,17,0,0.245714
1337303960,,,0,5,5,0,5,5,1,1,1,0,91,0.000227,0,91,0,0
1346845500,,,0,1,1,0,1,1,1,1,1,0,91,0.000227,0,92,0,0
139424337,,,0,1,1,0,1,1,1,1,1,0,91,0.000227,0,93,0,0
1397275166,,,0,3,3,0,3,3,1,1,1,0,91,0.000227,0,95,0,0
1552982012,,,0,6,6,0,7,7,1,1,1,0,91,0.000227,0,97,0,0
1585692482,,,0,1,1,0,1,1,1,1,1,0,91,0.000227,0,98,0,0
2285705570,,,0,2,2,0,2,2,1,1,1,0,91,0.000227,0,99,0,0
2389172415,,,0,1,1,0,1,1,1,1,1,0,91,0.000227,0,100,0,0
