Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
259638173,,,0,3,3,0,4,4,1,1,1,0,21,0.000258,0,3,0,0
0930uhr,,,1,0,1,1,0,1,0,0,0,0,21,0.000313,0,2,0,0.001664
710812679695417344,,,0,2,2,0,3,3,1,1,1,0,27,0.000258,0,6,0,0
100promensch,,,2,0,2,2,0,2,0,0,0,0,27,0.00055,0,5,0,0.003328
908691835492732930,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,7,0,0
282135623,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,10,0,0
1xklaudius,,,1,0,1,1,0,1,0,0,0,0,27,0.000368,0,9,0,0.001664
1453575974,,,0,2,2,0,7,7,1,1,1,0,27,0.000258,0,12,0,0
451_grad,,,4,0,4,4,0,4,0,0,0,0,27,0.000947,0,11,0,0.006656
2561586612,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,13,0,0
3018934037,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,14,0,0
871293586633109504,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,15,0,0
1263990463,,,0,1,1,0,2,2,1,1,1,0,0,0.000258,1,17,0,0
aangelo_ge,,,1,0,1,2,0,2,0,0,0,0,0,0.000477,1,16,0,0.001664
1254010705,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,19,0,0
adivonpoes,,,3,0,3,3,0,3,0,0,0,0,21,0.000642,0,18,0,0.004992
265392958,,,0,4,4,0,4,4,1,1,1,0,21,0.000258,0,23,0,0
2773112420,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,24,0,0
1229528486,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,25,0,0
afd_bv_hh_nord,,,46,0,46,46,0,46,0,0,0,0,21,0.007361,0,1,0,0.076539
1337303960,,,0,3,3,0,3,3,1,1,1,0,21,0.000258,0,26,0,0
1346845500,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,27,0,0
139424337,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,28,0,0
1397275166,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,29,0,0
1552982012,,,0,3,3,0,3,3,1,1,1,0,21,0.000258,0,32,0,0
1585692482,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,34,0,0
2285705570,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,35,0,0
2389172415,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,36,0,0
2635598825,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,38,0,0
2966118263,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,39,0,0
309712179,,,0,2,2,0,3,3,1,1,1,0,21,0.000258,0,40,0,0
3119096980,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,41,0,0
3161359328,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,43,0,0
3341138776,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,44,0,0
3376139050,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,45,0,0
340541943,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,46,0,0
382248824,,,0,5,5,0,5,5,1,1,1,0,21,0.000258,0,49,0,0
411815636,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,50,0,0
42291979,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,51,0,0
4569352401,,,0,4,4,0,5,5,1,1,1,0,21,0.000258,0,52,0,0
4725617597,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,53,0,0
528734391,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,54,0,0
533330971,,,0,3,3,0,3,3,1,1,1,0,21,0.000258,0,56,0,0
551705869,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,57,0,0
710353335484862464,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,58,0,0
736796494884442112,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,59,0,0
745255669,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,60,0,0
748257922422026242,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,62,0,0
757151613970739200,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,64,0,0
757584921267433472,,,0,2,2,0,4,4,1,1,1,0,21,0.000258,0,65,0,0
757945606778281984,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,66,0,0
803306131099623425,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,68,0,0
810979706946387969,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,69,0,0
821024924517199872,,,0,2,2,0,2,2,1,1,1,0,17,0.000258,0,71,0,0
836338243364876290,,,0,3,3,0,3,3,1,1,1,0,21,0.000258,0,72,0,0
846405093708763136,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,73,0,0
863708302584184832,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,74,0,0
864983682196676608,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,75,0,0
878654234,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,76,0,0
907182471606927361,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,77,0,0
907669849945645058,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,78,0,0
909172022651113473,,,0,3,3,0,3,3,1,1,1,0,21,0.000258,0,80,0,0
909889633290473472,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,81,0,0
afd_fraktionbb,,,5,0,5,6,0,6,0,0,0,0,21,0.001025,0,42,0,0.008319
718527383477882880,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,82,0,0
813756819004911616,,,0,2,2,0,3,3,1,1,1,0,27,0.000258,0,83,0,0
832571921598406657,,,0,1,1,0,1,1,1,1,1,0,21,0.000258,0,84,0,0
836175103998177280,,,0,2,2,0,3,3,1,1,1,0,21,0.000258,0,86,0,0
889882881518120960,,,0,2,2,0,2,2,1,1,1,0,21,0.000258,0,88,0,0
afd_hd,,,1,0,1,1,0,1,0,0,0,0,21,0.000368,0,87,0,0.001664
afd_lv_sh,,,3,0,3,3,0,3,0,0,0,0,21,0.000441,0,85,0,0.004992
900239547635822592,,,0,4,4,0,4,4,1,1,1,0,21,0.000258,0,90,0,0
904044880195936256,,,0,2,2,0,4,4,1,1,1,0,21,0.000258,0,91,0,0
3709793117,,,0,5,5,0,5,5,1,1,1,0,27,0.000258,0,97,0,0
alexhoffmann,,,1,0,1,1,0,1,0,0,0,0,27,0.000302,0,96,0,0.001664
1030392180,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,100,0,0
alexjahns,,,20,0,20,23,0,23,0,0,0,0,27,0.002014,0,99,0,0.033278
159146257,,,0,29,29,0,68,68,1,1,1,0,27,0.000258,0,126,0,0
172884537,,,0,16,16,0,28,28,1,1,1,0,27,0.000258,0,131,0,0
1895816748,,,0,21,21,0,32,32,1,1,1,0,27,0.000258,0,140,0,0
2178420813,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,141,0,0
2344913904,,,0,30,30,0,67,67,1,1,1,0,27,0.000258,0,149,0,0
2417176160,,,0,7,7,0,11,11,1,1,1,0,27,0.000258,0,150,0,0
27008603,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,151,0,0
3510668781,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,152,0,0
375862615,,,0,16,16,0,30,30,1,1,1,0,27,0.000258,0,154,0,0
44315494,,,0,4,4,0,4,4,1,1,1,0,27,0.000258,0,156,0,0
449264883,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,157,0,0
4728055179,,,0,4,4,0,5,5,1,1,1,0,21,0.000258,0,160,0,0
571032300,,,0,5,5,0,7,7,1,1,1,0,27,0.000258,0,161,0,0
615328007,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,162,0,0
79173424,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,163,0,0
811347478809350145,,,0,3,3,0,3,3,1,1,1,0,27,0.000258,0,164,0,0
824293891578925058,,,0,3,3,0,3,3,1,1,1,0,27,0.000258,0,165,0,0
825427917043806210,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,166,0,0
905513200027885570,,,0,3,3,0,4,4,1,1,1,0,27,0.000258,0,168,0,0
14623982,,,0,1,1,0,1,1,1,1,1,0,1,0.000258,2,170,0,0
alvar_f,,,4,0,4,4,0,4,0,0,0,0,1,0.001135,2,169,0,0.006656
22914851,,,0,1,1,0,1,1,1,1,1,0,1,0.000258,2,171,0,0
329745537,,,0,1,1,0,1,1,1,1,1,0,1,0.000258,2,172,0,0
404779717,,,0,1,1,0,1,1,1,1,1,0,1,0.000258,2,173,0,0
153335169,,,0,1,1,0,1,1,1,1,1,0,2,0.000258,3,175,0,0
an_gross_gerau,,,1,0,1,1,0,1,0,0,0,0,2,0.000477,3,174,0,0.001664
andreasandy3131,,,3,0,3,3,0,3,0,0,0,0,27,0.000351,0,148,0,0.004992
2989046098,,,0,3,3,0,3,3,1,1,1,0,27,0.000258,0,176,0,0
60913670,,,0,9,9,0,13,13,1,1,1,0,27,0.000258,0,177,0,0
62555096,,,0,1,1,0,1,1,1,1,1,0,3,0.000258,4,179,0,0
angusstone3,,,1,0,1,1,0,1,0,0,0,0,3,0.000477,4,178,0,0.001664
898254676558307331,,,0,1,1,0,1,1,1,1,1,0,4,0.000258,5,181,0,0
anke4you,,,1,0,1,1,0,1,0,0,0,0,4,0.000477,5,180,0,0.001664
1002225385,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,182,0,0
anked,,,67,0,67,85,0,85,0,0,0,0,27,0.008919,0,125,0,0.111481
1045288308,,,0,7,7,0,28,28,1,1,1,0,27,0.000258,0,185,0,0
1088701314,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,186,0,0
109798805,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,187,0,0
111297532,,,0,5,5,0,5,5,1,1,1,0,27,0.000258,0,188,0,0
1148881,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,190,0,0
1238529541,,,0,2,2,0,3,3,1,1,1,0,27,0.000258,0,191,0,0
133850677,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,192,0,0
134403249,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,193,0,0
1510567171,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,194,0,0
1653312679,,,0,3,3,0,3,3,1,1,1,0,27,0.000258,0,195,0,0
17779603,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,196,0,0
18026976,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,197,0,0
19278480,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,198,0,0
19550301,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,199,0,0
19704916,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,200,0,0
202110041,,,0,1,1,0,1,1,1,1,1,0,27,0.000258,0,201,0,0
21404382,,,0,2,2,0,2,2,1,1,1,0,27,0.000258,0,202,0,0
