Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
1012750715419287552,,,0,3,3,0,7,7,1,1,1,0,0,0.003666,19,0.000132,0,3,0,0
_kittypunk,,,6,0,6,6,0,6,0,0,0,0,0.000237,0,19,0.000522,0,2,0,0.011215
1343981419522117641,,,0,1,1,0,1,1,1,1,1,0,0,0.00001,19,0.000132,0,4,0,0
1374742110360965125,,,0,3,3,0,3,3,1,1,1,0,0,0.000942,19,0.000132,0,6,0,0
1407987774842679296,,,0,2,2,0,2,2,1,1,1,0,0,0.00004,19,0.000132,0,8,0,0
255043069,,,0,1,1,0,1,1,1,1,1,0,0,0.00001,19,0.000132,0,9,0,0
920308807,,,0,2,2,0,2,2,1,1,1,0,0,0.000939,19,0.000132,0,10,0,0
1261339568189714438,,,0,1,1,0,1,1,1,1,1,0,0,0.000092,17,0.000132,0,12,0,0
_lautes_denken,,,5,0,5,6,0,6,0,0,0,0,0.002172,0,17,0.000549,0,11,0,0.009346
1408006597134127105,,,0,1,1,0,1,1,1,1,1,0,0,0.000092,17,0.000132,0,13,0,0
2827183882,,,0,2,2,0,2,2,1,1,1,0,0,0.000292,17,0.000132,0,15,0,0
922811664994656256,,,0,1,1,0,1,1,1,1,1,0,0,0.000092,17,0.000132,0,16,0,0
997395326922354688,,,0,8,8,0,9,9,1,1,1,0,0,0.050774,17,0.000132,0,23,0,0
1281926718329171968,,,0,2,2,0,4,4,1,1,1,0,0,0.001059,19,0.000132,0,25,0,0
1410_berlin,,,1,0,1,1,0,1,0,0,0,0,0.000045,0,19,0.00016,0,24,0,0.001869
830850546227621888,,,0,3,3,0,3,3,1,1,1,0,0,0.000032,50,0.000132,0,27,0,0
1887henne,,,1,0,1,1,0,1,0,0,0,0,0.000001,0,50,0.000169,0,26,0,0.001869
894207135562772481,,,0,7,7,0,8,8,1,1,1,0,0,0.041311,50,0.000132,0,34,0,0
1acoolart,,,1,0,1,1,0,1,0,0,0,0,0.001748,0,50,0.000146,0,33,0,0.001869
1440729324525555725,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000132,1,36,0,0
7u83,,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.000244,1,35,0,0.001869
1048150281551302656,,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.000132,2,38,0,0
abschiebung_nrw,,,2,0,2,2,0,2,0,0,0,0,0,0,1,0.000356,2,37,0,0.003738
1433000835148046342,,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.000132,2,39,0,0
1102676804232450048,,,0,1,1,0,2,2,1,1,1,0,0,0,50,0.000132,0,41,0,0
absolventin20,,,3,0,3,5,0,5,0,0,0,0,0,0,50,0.000412,0,40,0,0.005607
1405784797809725441,,,0,3,3,0,4,4,1,1,1,0,0,0.000009,50,0.000132,0,44,0,0
1568231288,,,0,1,1,0,1,1,1,1,1,0,0,0,50,0.000132,0,45,0,0
3130731489,,,0,1,1,0,1,1,1,1,1,0,0,0,50,0.000132,0,47,0,0
adurchreise,,,2,0,2,2,0,2,0,0,0,0,0.000003,0,50,0.000251,0,46,0,0.003738
816717166900809729,,,0,9,9,0,16,16,1,1,1,0,0,0.000071,50,0.000132,0,55,0,0
1047495256437149698,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,56,0,0
afd,,,34,0,34,34,0,34,0,0,0,0,0.000261,0,50,0.002677,0,54,0,0.063551
107241204,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,57,0,0
1079495710528147456,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,58,0,0
1147682717888405504,,,0,2,2,0,2,2,1,1,1,0,0,0.00003,50,0.000132,0,60,0,0
1210993208219488257,,,0,2,2,0,2,2,1,1,1,0,0,0.000027,50,0.000132,0,61,0,0
1228673833273561089,,,0,2,2,0,4,4,1,1,1,0,0,0.000027,50,0.000132,0,62,0,0
123010230,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,63,0,0
1285616420441776128,,,0,3,3,0,4,4,1,1,1,0,0,0.000037,50,0.000132,0,65,0,0
1307714046641176577,,,0,2,2,0,2,2,1,1,1,0,0,0.000027,50,0.000132,0,66,0,0
1310272655661162497,,,0,2,2,0,2,2,1,1,1,0,0,0.000027,50,0.000132,0,67,0,0
1324717908354805761,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,68,0,0
1328837448080764930,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,69,0,0
1357228237,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,70,0,0
1369291103795621889,,,0,4,4,0,4,4,1,1,1,0,0,0.004293,50,0.000132,0,73,0,0
1375039512,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,74,0,0
1384893513960235009,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,75,0,0
1395677153459638277,,,0,21,21,0,26,26,1,1,1,0,0,0.001159,50,0.000132,0,89,0,0
1420521316940136452,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,90,0,0
180926336,,,0,2,2,0,2,2,1,1,1,0,0,0.000011,50,0.000132,0,92,0,0
2185151490,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,93,0,0
2463582956,,,0,7,7,0,8,8,1,1,1,0,0,0.000045,50,0.000132,0,95,0,0
270362730,,,0,2,2,0,2,2,1,1,1,0,0,0.00003,50,0.000132,0,96,0,0
2785687478,,,0,9,9,0,9,9,1,1,1,0,0,0.000083,50,0.000132,0,100,0,0
2887896783,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,101,0,0
2941299257,,,0,2,2,0,2,2,1,1,1,0,0,0.000023,19,0.000132,0,103,0,0
3362871814,,,0,2,2,0,2,2,1,1,1,0,0,0.000027,50,0.000132,0,104,0,0
3449333603,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,105,0,0
3717461056,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,106,0,0
4549158436,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,107,0,0
817842489814118401,,,0,2,2,0,2,2,1,1,1,0,0,0.000011,50,0.000132,0,109,0,0
827136076284297221,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,110,0,0
889882881518120960,,,0,1,1,0,1,1,1,1,1,0,0,0.000011,50,0.000132,0,111,0,0
907382831130857472,,,0,8,8,0,9,9,1,1,1,0,0,0.000052,50,0.000132,0,115,0,0
923587203397308416,,,0,1,1,0,1,1,1,1,1,0,0,0,2,0.000132,3,117,0,0
afd_hd,,,1,0,1,1,0,1,0,0,0,0,0,0,2,0.000244,3,116,0,0.001869
1232006163342004226,,,0,5,5,0,6,6,1,1,1,0,0,0.000052,50,0.000132,0,118,0,0
afdebe,,,10,0,10,10,0,10,0,0,0,0,0.000013,0,50,0.000626,0,94,0,0.018692
1240990956310102016,,,0,3,3,0,3,3,1,1,1,0,0,0.00002,50,0.000132,0,119,0,0
1259440570956685312,,,0,10,10,0,13,13,1,1,1,0,0,0.00008,50,0.000132,0,120,0,0
1381921667530829827,,,0,2,2,0,2,2,1,1,1,0,0,0.000006,50,0.000132,0,121,0,0
1383730650620989443,,,0,2,2,0,2,2,1,1,1,0,0,0.000017,50,0.000132,0,122,0,0
1434132417414156292,,,0,4,4,0,5,5,1,1,1,0,0,0.000076,50,0.000132,0,125,0,0
1436865103475974145,,,0,2,2,0,2,2,1,1,1,0,0,0.000017,50,0.000132,0,126,0,0
545888867,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,50,0.000132,0,127,0,0
910449700146434048,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,50,0.000132,0,128,0,0
2356289815,,,0,1,1,0,1,1,1,1,1,0,0,0,3,0.000132,4,130,0,0
alertabaltica,,,1,0,1,1,0,1,0,0,0,0,0,0,3,0.000244,4,129,0,0.001869
alexjungbluth,,,2,0,2,2,0,2,0,0,0,0,0.000049,0,50,0.000249,0,88,0,0.003738
825730639194361856,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,50,0.000132,0,131,0,0
1353681587444080642,,,0,1,1,0,1,1,1,1,1,0,0,0,19,0.000132,0,133,0,0
almaphilou,,,4,0,4,4,0,4,0,0,0,0,0.000011,0,19,0.000525,0,132,0,0.007477
2362250993,,,0,1,1,0,1,1,1,1,1,0,0,0,19,0.000132,0,134,0,0
924282658926063616,,,0,2,2,0,2,2,1,1,1,0,0,0.000269,19,0.000132,0,136,0,0
976090796792385537,,,0,1,1,0,1,1,1,1,1,0,0,0,19,0.000132,0,137,0,0
1062783611726938112,,,0,3,3,0,3,3,1,1,1,0,0,0.002899,19,0.000132,0,139,0,0
alpavaria,,,10,0,10,10,0,10,0,0,0,0,0.003684,0,19,0.001033,0,138,0,0.018692
1103585345126481920,,,0,1,1,0,1,1,1,1,1,0,0,0.000156,19,0.000132,0,140,0,0
