"Target","Source","n","Weight"
"","353520385",2,2
"0930uhr","259638173",1,1
"100promensch","710812679695417344",1,1
"100promensch","908691835492732930",1,1
"1xklaudius","282135623",1,1
"451_grad","1453575974",1,1
"451_grad","2561586612",1,1
"451_grad","3018934037",1,1
"451_grad","871293586633109504",1,1
"aangelo_ge","1263990463",2,2
"adivonpoes","1254010705",1,1
"adivonpoes","265392958",1,1
"adivonpoes","2773112420",1,1
"afd_bv_hh_nord","1229528486",1,1
"afd_bv_hh_nord","1337303960",1,1
"afd_bv_hh_nord","1346845500",1,1
"afd_bv_hh_nord","139424337",1,1
"afd_bv_hh_nord","1397275166",1,1
"afd_bv_hh_nord","1552982012",1,1
"afd_bv_hh_nord","1585692482",1,1
"afd_bv_hh_nord","2285705570",1,1
"afd_bv_hh_nord","2389172415",1,1
"afd_bv_hh_nord","259638173",1,1
"afd_bv_hh_nord","2635598825",1,1
"afd_bv_hh_nord","2773112420",1,1
"afd_bv_hh_nord","2966118263",1,1
"afd_bv_hh_nord","309712179",1,1
"afd_bv_hh_nord","3119096980",1,1
"afd_bv_hh_nord","3161359328",1,1
"afd_bv_hh_nord","3341138776",1,1
"afd_bv_hh_nord","3376139050",1,1
"afd_bv_hh_nord","340541943",1,1
"afd_bv_hh_nord","382248824",1,1
"afd_bv_hh_nord","411815636",1,1
"afd_bv_hh_nord","42291979",1,1
"afd_bv_hh_nord","4569352401",1,1
"afd_bv_hh_nord","4725617597",1,1
"afd_bv_hh_nord","528734391",1,1
"afd_bv_hh_nord","533330971",1,1
"afd_bv_hh_nord","551705869",1,1
"afd_bv_hh_nord","710353335484862464",1,1
"afd_bv_hh_nord","736796494884442112",1,1
"afd_bv_hh_nord","745255669",1,1
"afd_bv_hh_nord","748257922422026242",1,1
"afd_bv_hh_nord","757151613970739200",1,1
"afd_bv_hh_nord","757584921267433472",1,1
"afd_bv_hh_nord","757945606778281984",1,1
"afd_bv_hh_nord","803306131099623425",1,1
"afd_bv_hh_nord","810979706946387969",1,1
"afd_bv_hh_nord","821024924517199872",1,1
"afd_bv_hh_nord","836338243364876290",1,1
"afd_bv_hh_nord","846405093708763136",1,1
"afd_bv_hh_nord","863708302584184832",1,1
"afd_bv_hh_nord","864983682196676608",1,1
"afd_bv_hh_nord","878654234",1,1
"afd_bv_hh_nord","907182471606927361",1,1
"afd_bv_hh_nord","907669849945645058",1,1
"afd_bv_hh_nord","909172022651113473",1,1
"afd_bv_hh_nord","909889633290473472",1,1
"afd_fraktionbb","3161359328",1,1
"afd_fraktionbb","718527383477882880",1,1
"afd_fraktionbb","813756819004911616",1,1
"afd_fraktionbb","832571921598406657",1,1
"afd_fraktionbb","836175103998177280",2,2
"afd_hd","889882881518120960",1,1
"afd_lv_sh","836175103998177280",1,1
"afd_lv_sh","900239547635822592",1,1
"afd_lv_sh","904044880195936256",1,1
"alexhoffmann","3709793117",1,1
"alexjahns","1030392180",1,1
"alexjahns","159146257",3,3
"alexjahns","172884537",1,1
"alexjahns","1895816748",1,1
"alexjahns","2178420813",1,1
"alexjahns","2344913904",1,1
"alexjahns","2417176160",1,1
"alexjahns","27008603",1,1
"alexjahns","3510668781",1,1
"alexjahns","375862615",1,1
"alexjahns","44315494",1,1
"alexjahns","449264883",1,1
"alexjahns","4728055179",1,1
"alexjahns","571032300",1,1
"alexjahns","615328007",1,1
"alexjahns","79173424",1,1
"alexjahns","811347478809350145",1,1
"alexjahns","824293891578925058",1,1
"alexjahns","825427917043806210",1,1
"alexjahns","905513200027885570",2,2
"alvar_f","14623982",1,1
"alvar_f","22914851",1,1
"alvar_f","329745537",1,1
"alvar_f","404779717",1,1
"an_gross_gerau","153335169",1,1
"andreasandy3131","2344913904",1,1
"andreasandy3131","2989046098",1,1
"andreasandy3131","60913670",1,1
"angusstone3","62555096",1,1
"anke4you","898254676558307331",1,1
"anked","1002225385",1,1
"anked","1045288308",3,3
"anked","1088701314",1,1
"anked","109798805",1,1
"anked","111297532",1,1
"anked","1148881",1,1
"anked","1238529541",2,2
"anked","133850677",1,1
"anked","134403249",1,1
"anked","1510567171",1,1
"anked","159146257",3,3
"anked","1653312679",1,1
"anked","17779603",1,1
"anked","18026976",1,1
"anked","19278480",1,1
"anked","19550301",1,1
"anked","19704916",1,1
"anked","202110041",1,1
"anked","21404382",1,1
"anked","215894625",1,1
"anked","234320698",1,1
"anked","2344913904",2,2
"anked","2527808433",1,1
"anked","254791018",1,1
"anked","257229177",1,1
"anked","2772834332",1,1
"anked","2821259092",1,1
"anked","2844941015",1,1
"anked","2979854817",1,1
"anked","2995043285",2,2
"anked","3084677081",1,1
"anked","3090754347",1,1
"anked","3298768969",1,1
"anked","3368184118",1,1
"anked","3375860590",3,3
"anked","375862615",2,2
"anked","40258330",1,1
"anked","42860170",1,1
"anked","43096952",1,1
"anked","433356230",2,2
"anked","44101578",2,2
"anked","441873194",1,1
"anked","44315494",1,1
"anked","4833269817",1,1
"anked","49275682",1,1
"anked","50600964",1,1
"anked","550192983",1,1
"anked","558935792",1,1
"anked","562736610",2,2
"anked","5796202",1,1
"anked","628241090",1,1
"anked","66980799",1,1
"anked","69579611",1,1
"anked","726364147571671040",3,3
"anked","79498539",2,2
"anked","823122951281246209",2,2
"anked","825731114987876352",1,1
"anked","826351775917731840",1,1
"anked","835884015907385347",1,1
"anked","857836572",1,1
"anked","873503604468064256",1,1
"anked","875683999",1,1
"anked","881564226208378880",1,1
"anked","882968003595444225",1,1
"anked","88493882",1,1
"anked","910945950549598208",2,2
"anked","934223935",1,1
"annebeobachter","3313564101",1,1
"antjefeiks","16254147",1,1
"antjefeiks","18168510",1,1
"antjefeiks","2344913904",2,2
"antjefeiks","2594642870",1,1
"antjefeiks","28066013",1,1
"antjefeiks","3375860590",1,1
"antjefeiks","355027805",1,1
"antjefeiks","68739620",1,1
"antjefeiks","69579611",1,1
"antjefeiks","898306712",1,1
"antjefeiks","910898968917397504",1,1
"apatzwahl","1873548374",1,1
"apatzwahl","899212735770218497",1,1
"asktheunknown","1483395600",1,1
"asktheunknown","541106024",1,1
"bavariawatch","2152275095",3,3
"bavariawatch","2465952667",3,3
"bavariawatch","2479457240",2,2
"bavariawatch","3166120049",1,1
"bavariawatch","375531518",6,6
"bavariawatch","3780286457",6,6
"bavariawatch","3981651935",1,1
"bavariawatch","821408474856820736",1,1
"bavariawatch","908325162357067778",1,1
"bedb_puetz","10502572",1,1
"bedb_puetz","1430799638",1,1
"bedb_puetz","1689287426",1,1
"bedb_puetz","183118752",1,1
"bedb_puetz","1873548374",1,1
"bedb_puetz","1970848530",1,1
"bedb_puetz","197405534",1,1
"bedb_puetz","2262672047",1,1
"bedb_puetz","2299873066",1,1
"bedb_puetz","2408605103",1,1
"bedb_puetz","2420838389",1,1
"bedb_puetz","255043069",1,1
"bedb_puetz","255637301",1,1
"bedb_puetz","2635598825",1,1
"bedb_puetz","2803662588",1,1
"bedb_puetz","290726218",1,1
"bedb_puetz","2935469435",1,1
"bedb_puetz","2940068199",1,1
"bedb_puetz","2999837297",1,1
"bedb_puetz","327278213",1,1
"bedb_puetz","3395178346",1,1
"bedb_puetz","3398778093",1,1
"bedb_puetz","361220065",1,1
"bedb_puetz","3909546753",1,1
"bedb_puetz","4569352401",1,1
"bedb_puetz","4728055179",1,1
"bedb_puetz","4818392350",1,1
"bedb_puetz","4901745857",1,1
"bedb_puetz","4906069901",1,1
"bedb_puetz","4909297972",1,1
"bedb_puetz","573155874",1,1
"bedb_puetz","69553185",1,1
"bedb_puetz","711496274692935680",2,2
"bedb_puetz","721042432381579264",1,1
"bedb_puetz","741646773115064320",1,1
