Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
110728224,,,0,3,3,0,3,3,1,1,1,0,0,0.000162,346,0.000022,0,3,0,0
__investigate__,,,17,0,17,23,0,23,0,0,0,0,0.002828,0,346,0.000128,0,2,0,0.005911
1337814842258976772,,,0,2,2,0,2,2,1,1,1,0,0,0.005948,346,0.000022,0,5,0,0
134723768,,,0,15,15,0,17,17,1,1,1,0,0,0.023223,346,0.000022,0,20,0,0
1396795352972505088,,,0,26,26,0,34,34,1,1,1,0,0,0.030865,346,0.000022,0,41,0,0
144441635,,,0,2,2,0,2,2,1,1,1,0,0,0.001539,346,0.000022,0,43,0,0
19494801,,,0,8,8,0,8,8,1,1,1,0,0,0.011008,346,0.000022,0,49,0,0
2154792391,,,0,4,4,0,4,4,1,1,1,0,0,0.000854,346,0.000022,0,52,0,0
282106863,,,0,4,4,0,4,4,1,1,1,0,0,0.002088,346,0.000022,0,56,0,0
292330204,,,0,53,53,0,73,73,1,1,1,0,0,0.055087,346,0.000022,0,92,0,0
383233627,,,0,1,1,0,1,1,1,1,1,0,0,0.000044,346,0.000022,0,93,0,0
385318541,,,0,13,13,0,13,13,1,1,1,0,0,0.01923,346,0.000022,0,98,0,0
44315494,,,0,5,5,0,5,5,1,1,1,0,0,0.003831,346,0.000022,0,102,0,0
64642542,,,0,5,5,0,5,5,1,1,1,0,0,0.012533,346,0.000022,0,103,0,0
756569436384026625,,,0,7,7,0,7,7,1,1,1,0,0,0.006751,346,0.000022,0,106,0,0
917863768876617729,,,0,4,4,0,4,4,1,1,1,0,0,0.005738,346,0.000022,0,108,0,0
954313229613912064,,,0,1,1,0,1,1,1,1,1,0,0,0.000044,346,0.000022,0,109,0,0
968502825851478018,,,0,3,3,0,8,8,1,1,1,0,0,0.002851,346,0.000022,0,110,0,0
1303049127090151424,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000022,1,112,0,0
__mone____,,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.00004,1,111,0,0.000348
1093244802399916032,,,0,3,3,0,3,3,1,1,1,0,0,0.000234,346,0.000022,0,116,0,0
__ud3x__,,,4,0,4,4,0,4,0,0,0,0,0.000004,0,346,0.000084,0,115,0,0.001391
1260655606035251203,,,0,1,1,0,1,1,1,1,1,0,0,0,346,0.000022,0,117,0,0
745205846997606400,,,0,1,1,0,1,1,1,1,1,0,0,0,346,0.000022,0,118,0,0
821795406636060672,,,0,1,1,0,1,1,1,1,1,0,0,0,346,0.000022,0,119,0,0
814223389225263106,,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.000022,2,121,0,0
_allyouneeed,,,1,0,1,1,0,1,0,0,0,0,0,0,1,0.00004,2,120,0,0.000348
1048956759719772160,,,0,2,2,0,2,2,1,1,1,0,0,0.000019,192,0.000022,0,124,0,0
_apuleius,,,38,0,38,38,0,38,0,0,0,0,0.000238,0,192,0.000271,0,123,0,0.013213
1098534604817027072,,,0,11,11,0,11,11,1,1,1,0,0,0.000056,192,0.000022,0,134,0,0
1109901935304458242,,,0,3,3,0,3,3,1,1,1,0,0,0.000014,192,0.000022,0,136,0,0
1147547433561415681,,,0,3,3,0,3,3,1,1,1,0,0,0.000011,192,0.000022,0,138,0,0
1147682717888405504,,,0,8,8,0,8,8,1,1,1,0,0,0.000071,192,0.000022,0,144,0,0
1148901116756672512,,,0,5,5,0,5,5,1,1,1,0,0,0.000033,192,0.000022,0,148,0,0
1150473478593814533,,,0,1,1,0,1,1,1,1,1,0,0,0.000004,192,0.000022,0,149,0,0
1152976507733708800,,,0,6,6,0,7,7,1,1,1,0,0,0.000048,192,0.000022,0,151,0,0
1177663805591035904,,,0,5,5,0,5,5,1,1,1,0,0,0.001687,346,0.000022,0,154,0,0
1214280193751175168,,,0,7,7,0,7,7,1,1,1,0,0,0.000055,192,0.000022,0,156,0,0
1232006163342004226,,,0,4,4,0,5,5,1,1,1,0,0,0.000035,192,0.000022,0,157,0,0
1235979030421286919,,,0,5,5,0,5,5,1,1,1,0,0,0.000043,192,0.000022,0,159,0,0
1237002299857305602,,,0,3,3,0,3,3,1,1,1,0,0,0.000012,192,0.000022,0,162,0,0
1240292773078749184,,,0,3,3,0,3,3,1,1,1,0,0,0.000238,192,0.000022,0,164,0,0
1270646775565750272,,,0,7,7,0,7,7,1,1,1,0,0,0.001899,192,0.000022,0,167,0,0
1303662636249296896,,,0,11,11,0,13,13,1,1,1,0,0,0.002722,192,0.000022,0,174,0,0
1365580620114644992,,,0,2,2,0,3,3,1,1,1,0,0,0.000043,192,0.000022,0,175,0,0
1381987522054610946,,,0,8,8,0,10,10,1,1,1,0,0,0.000186,192,0.000022,0,179,0,0
1388861359253860352,,,0,1,1,0,1,1,1,1,1,0,0,0.000004,192,0.000022,0,180,0,0
1407089988299366407,,,0,3,3,0,3,3,1,1,1,0,0,0.001003,192,0.000022,0,181,0,0
1433093453970292738,,,0,1,1,0,1,1,1,1,1,0,0,0.000004,192,0.000022,0,182,0,0
1435530504913235971,,,0,2,2,0,2,2,1,1,1,0,0,0.000019,192,0.000022,0,183,0,0
158107592,,,0,4,4,0,4,4,1,1,1,0,0,0.000154,192,0.000022,0,185,0,0
1833662454,,,0,5,5,0,6,6,1,1,1,0,0,0.000341,192,0.000022,0,188,0,0
183409796,,,0,11,11,0,12,12,1,1,1,0,0,0.000181,192,0.000022,0,192,0,0
2740527072,,,0,2,2,0,2,2,1,1,1,0,0,0.000015,192,0.000022,0,193,0,0
2912706009,,,0,11,11,0,13,13,1,1,1,0,0,0.003531,192,0.000022,0,198,0,0
326899497,,,0,1,1,0,1,1,1,1,1,0,0,0.000004,192,0.000022,0,199,0,0
390616461,,,0,3,3,0,3,3,1,1,1,0,0,0.000019,192,0.000022,0,201,0,0
4689896298,,,0,1,1,0,1,1,1,1,1,0,0,0.000004,192,0.000022,0,202,0,0
71215293,,,0,4,4,0,4,4,1,1,1,0,0,0.000186,192,0.000022,0,203,0,0
806635113345904640,,,0,7,7,0,7,7,1,1,1,0,0,0.002194,192,0.000022,0,205,0,0
816717166900809729,,,0,17,17,0,25,25,1,1,1,0,0,0.000242,192,0.000022,0,214,0,0
