"Target","Source","n","Weight"
"__investigate__","110728224",1,1
"__investigate__","1337814842258976772",1,1
"__investigate__","134723768",1,1
"__investigate__","1396795352972505088",2,2
"__investigate__","144441635",1,1
"__investigate__","19494801",1,1
"__investigate__","2154792391",1,1
"__investigate__","282106863",1,1
"__investigate__","292330204",1,1
"__investigate__","383233627",1,1
"__investigate__","385318541",1,1
"__investigate__","44315494",1,1
"__investigate__","64642542",1,1
"__investigate__","756569436384026625",1,1
"__investigate__","917863768876617729",1,1
"__investigate__","954313229613912064",1,1
"__investigate__","968502825851478018",6,6
"__mone____","1303049127090151424",1,1
"__ud3x__","1093244802399916032",1,1
"__ud3x__","1260655606035251203",1,1
"__ud3x__","745205846997606400",1,1
"__ud3x__","821795406636060672",1,1
"_allyouneeed","814223389225263106",1,1
"_apuleius","1048956759719772160",1,1
"_apuleius","1098534604817027072",1,1
"_apuleius","1109901935304458242",1,1
"_apuleius","1147547433561415681",1,1
"_apuleius","1147682717888405504",1,1
"_apuleius","1148901116756672512",1,1
"_apuleius","1150473478593814533",1,1
"_apuleius","1152976507733708800",1,1
"_apuleius","1177663805591035904",1,1
"_apuleius","1214280193751175168",1,1
"_apuleius","1232006163342004226",1,1
"_apuleius","1235979030421286919",1,1
"_apuleius","1237002299857305602",1,1
"_apuleius","1240292773078749184",1,1
"_apuleius","1270646775565750272",1,1
"_apuleius","1303662636249296896",1,1
"_apuleius","1365580620114644992",1,1
"_apuleius","1381987522054610946",1,1
"_apuleius","1388861359253860352",1,1
"_apuleius","1407089988299366407",1,1
"_apuleius","1433093453970292738",1,1
"_apuleius","1435530504913235971",1,1
"_apuleius","158107592",1,1
"_apuleius","1833662454",1,1
"_apuleius","183409796",1,1
"_apuleius","2740527072",1,1
"_apuleius","2912706009",1,1
"_apuleius","326899497",1,1
"_apuleius","390616461",1,1
"_apuleius","4689896298",1,1
"_apuleius","71215293",1,1
"_apuleius","806635113345904640",1,1
"_apuleius","816717166900809729",1,1
"_apuleius","817847724133535745",1,1
"_apuleius","871146577015996418",1,1
"_apuleius","907382831130857472",1,1
"_apuleius","916356634204655616",1,1
"_apuleius","934105328140120064",1,1
"_cyberschlumpf","1017053113470144513",1,1
"_cyberschlumpf","10278862",1,1
"_cyberschlumpf","1124303191162671104",1,1
"_cyberschlumpf","1153351957689622528",1,1
"_cyberschlumpf","1370008562899038216",1,1
"_cyberschlumpf","16958590",1,1
"_cyberschlumpf","18114670",1,1
"_cyberschlumpf","186432752",1,1
"_cyberschlumpf","20036281",1,1
"_cyberschlumpf","246274931",1,1
"_cyberschlumpf","2876498788",1,1
"_cyberschlumpf","3205234526",1,1
"_cyberschlumpf","373589335",1,1
"_cyberschlumpf","455392322",1,1
"_cyberschlumpf","490110822",1,1
"_cyberschlumpf","50991083",1,1
"_cyberschlumpf","63448298",1,1
"_cyberschlumpf","68473339",1,1
"_cyberschlumpf","68690820",1,1
"_cyberschlumpf","719814914714546176",1,1
"_cyberschlumpf","72033497",1,1
"_cyberschlumpf","762265140",1,1
"_dasschweigen_","2208817489",1,1
"_distel_","46919997",1,1
"_drbunsen_","256530790",1,1
"_electroproject","1358631942",1,1
"_electroproject","3075321311",1,1
"_fkaminski","136289916",1,1
"_friedrichmerz","1012104127",1,1
"_friedrichmerz","1042628457698652160",1,1
"_friedrichmerz","1061334769739489282",1,1
"_friedrichmerz","1062731842288279552",1,1
"_friedrichmerz","1085606071018967041",1,1
"_friedrichmerz","1131229779997409281",1,1
"_friedrichmerz","1151821980565463040",1,1
"_friedrichmerz","1158195223",1,1
"_friedrichmerz","1160156149",1,1
"_friedrichmerz","1183266544480071681",1,1
"_friedrichmerz","1212844360200359936",2,2
"_friedrichmerz","1222997441731080202",1,1
"_friedrichmerz","1227528880359079936",1,1
"_friedrichmerz","1230081477926408193",1,1
"_friedrichmerz","1276080455008358400",1,1
"_friedrichmerz","1292050138068811776",1,1
"_friedrichmerz","1307985110260740096",1,1
"_friedrichmerz","1325912675306627073",1,1
"_friedrichmerz","1334970454935826437",1,1
"_friedrichmerz","1358807301575090177",1,1
"_friedrichmerz","1364667649448435713",1,1
"_friedrichmerz","1369291103795621889",1,1
"_friedrichmerz","1371380798704746497",1,1
"_friedrichmerz","1372777370965307393",1,1
"_friedrichmerz","1374057736850321411",1,1
"_friedrichmerz","13864612",1,1
"_friedrichmerz","1395677153459638277",1,1
"_friedrichmerz","1421246425",1,1
"_friedrichmerz","1426822817744670720",1,1
"_friedrichmerz","1427263446157074432",1,1
"_friedrichmerz","1430901599874916362",1,1
"_friedrichmerz","1435893946530607112",1,1
"_friedrichmerz","15716987",1,1
"_friedrichmerz","1631211283",1,1
"_friedrichmerz","170062616",1,1
"_friedrichmerz","1883253186",1,1
"_friedrichmerz","19342710",1,1
"_friedrichmerz","19962861",1,1
"_friedrichmerz","2172549183",1,1
"_friedrichmerz","2404985605",1,1
"_friedrichmerz","244681316",1,1
"_friedrichmerz","269753803",1,1
"_friedrichmerz","2773516979",1,1
"_friedrichmerz","2785456183",1,1
"_friedrichmerz","3119096980",3,3
"_friedrichmerz","3234997943",1,1
"_friedrichmerz","33071479",1,1
"_friedrichmerz","3854466209",1,1
"_friedrichmerz","4195967285",1,1
"_friedrichmerz","4210092389",1,1
"_friedrichmerz","429143513",1,1
"_friedrichmerz","444132902",1,1
"_friedrichmerz","454873093",1,1
"_friedrichmerz","49619372",1,1
"_friedrichmerz","55487366",1,1
"_friedrichmerz","66094560",1,1
"_friedrichmerz","752940202985922560",1,1
"_friedrichmerz","762917240744341508",1,1
"_friedrichmerz","781143797115809792",1,1
"_friedrichmerz","798493656495849472",1,1
"_friedrichmerz","798916520",1,1
"_friedrichmerz","822822463247618048",1,1
"_friedrichmerz","830582539148468227",1,1
"_friedrichmerz","843009124598272000",1,1
"_friedrichmerz","859089408787722245",1,1
"_friedrichmerz","902219152399753221",1,1
"_friedrichmerz","93457923",1,1
"_friedrichmerz","968381331301392385",1,1
"_heimatliebe_","1003002048290451456",1,1
"_heimatliebe_","1006177454023725056",1,1
"_heimatliebe_","1008982323310850050",1,1
"_heimatliebe_","1020600409",1,1
"_heimatliebe_","1062783611726938112",2,2
"_heimatliebe_","1081158644169879552",1,1
"_heimatliebe_","1099544179",1,1
"_heimatliebe_","1100483627496996864",1,1
"_heimatliebe_","1109547649903050752",1,1
"_heimatliebe_","1114964648502210561",1,1
"_heimatliebe_","1123168760947515392",1,1
"_heimatliebe_","1130453962212159489",1,1
"_heimatliebe_","1147682717888405504",1,1
"_heimatliebe_","1151263100",1,1
"_heimatliebe_","1155901379183108096",1,1
"_heimatliebe_","1165222043987652609",1,1
"_heimatliebe_","1166759151722217472",1,1
