Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum,clustering,eigencentrality
100458065,,,0,6,6,0,6,6,1,1,1,0,0,0.000539,63,0.000055,0,6,0,0
__redcat,,,2,0,2,2,0,2,0,0,0,0,0.00004,0,63,0.000071,0,5,0,0.003992
905920560,,,0,5,5,0,6,6,1,1,1,0,0,0.000473,63,0.000055,0,11,0,0
1198182791957102592,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,63,0.000055,0,13,0,0
_anthony_r_,,,11,0,11,11,0,11,0,0,0,0,0.000056,0,63,0.000328,0,12,0,0.021956
162769774,,,0,2,2,0,2,2,1,1,1,0,0,0.000002,63,0.000055,0,15,0,0
1960792351,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,63,0.000055,0,16,0,0
222440532,,,0,3,3,0,3,3,1,1,1,0,0,0.00003,63,0.000055,0,19,0,0
22760468,,,0,2,2,0,2,2,1,1,1,0,0,0.000156,63,0.000055,0,21,0,0
2980211794,,,0,1,1,0,1,1,1,1,1,0,0,0.000002,63,0.000055,0,22,0,0
34881706,,,0,4,4,0,4,4,1,1,1,0,0,0.00017,63,0.000055,0,25,0,0
455392322,,,0,5,5,0,6,6,1,1,1,0,0,0.000128,63,0.000055,0,30,0,0
64666298,,,0,3,3,0,3,3,1,1,1,0,0,0.000023,63,0.000055,0,33,0,0
762265140,,,0,4,4,0,4,4,1,1,1,0,0,0.000432,63,0.000055,0,37,0,0
89255465,,,0,2,2,0,2,2,1,1,1,0,0,0.000462,63,0.000055,0,38,0,0
1247158744862998528,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000055,1,40,0,0
_bk_says,,,3,0,3,3,0,3,0,0,0,0,0,0,0,0.000195,1,39,0,0.005988
1271009885732339719,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000055,1,41,0,0
1328246202983452673,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000055,1,42,0,0
1109159115773956097,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,63,0.000055,0,44,0,0
_erik_krueger,,,18,0,18,18,0,18,0,0,0,0,0.000173,0,63,0.000378,0,43,0,0.035928
1122231427553210371,,,0,14,14,0,14,14,1,1,1,0,0,0.001022,63,0.000055,0,56,0,0
1150027563433115648,,,0,20,20,0,23,23,1,1,1,0,0,0.000963,63,0.000055,0,72,0,0
1237753673515663360,,,0,2,2,0,2,2,1,1,1,0,0,0.000007,63,0.000055,0,74,0,0
129563351,,,0,3,3,0,4,4,1,1,1,0,0,0.00003,63,0.000055,0,76,0,0
1347218036592414721,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,63,0.000055,0,77,0,0
1398424525549809668,,,0,5,5,0,5,5,1,1,1,0,0,0.000064,63,0.000055,0,81,0,0
1407192332,,,0,27,27,0,36,36,1,1,1,0,0,0.00101,63,0.000055,0,101,0,0
155336073,,,0,4,4,0,4,4,1,1,1,0,0,0.000064,63,0.000055,0,104,0,0
2314390522,,,0,3,3,0,3,3,1,1,1,0,0,0.000644,63,0.000055,0,105,0,0
26026310,,,0,8,8,0,8,8,1,1,1,0,0,0.000086,63,0.000055,0,110,0,0
364849195,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,63,0.000055,0,111,0,0
549189515,,,0,5,5,0,5,5,1,1,1,0,0,0.000129,63,0.000055,0,113,0,0
561515531,,,0,4,4,0,4,4,1,1,1,0,0,0.000068,63,0.000055,0,115,0,0
744459938299281408,,,0,7,7,0,8,8,1,1,1,0,0,0.000113,63,0.000055,0,117,0,0
825831206499528706,,,0,4,4,0,5,5,1,1,1,0,0,0.000084,63,0.000055,0,119,0,0
83342791,,,0,2,2,0,3,3,1,1,1,0,0,0.000019,63,0.000055,0,120,0,0
872352864,,,0,1,1,0,1,1,1,1,1,0,0,0.000007,63,0.000055,0,121,0,0
217416452,,,0,1,1,0,1,1,1,1,1,0,0,0.000055,296,0.000055,0,123,0,0
_fl01,,,4,0,4,4,0,4,0,0,0,0,0.001367,0,296,0.000188,0,122,0,0.007984
2527815351,,,0,3,3,0,3,3,1,1,1,0,0,0.03255,296,0.000055,0,126,0,0
69019326,,,0,1,1,0,1,1,1,1,1,0,0,0.000055,296,0.000055,0,127,0,0
713847802850312192,,,0,2,2,0,2,2,1,1,1,0,0,0.001507,296,0.000055,0,129,0,0
1013468811603914752,,,0,1,1,0,1,1,1,1,1,0,0,0.00225,296,0.000055,0,131,0,0
_friedrichmerz,,,98,0,98,114,0,114,0,0,0,0,0.056239,0,296,0.00273,0,130,0,0.195609
102371677,,,0,4,4,0,5,5,1,1,1,0,0,0.010279,296,0.000055,0,135,0,0
1025505491483602945,,,0,4,4,0,6,6,1,1,1,0,0,0.00276,63,0.000055,0,137,0,0
1026773320400818183,,,0,5,5,0,5,5,1,1,1,0,0,0.046686,296,0.000055,0,141,0,0
1027463639375261697,,,0,1,1,0,1,1,1,1,1,0,0,0.00225,296,0.000055,0,142,0,0
1032693709375242241,,,0,3,3,0,3,3,1,1,1,0,0,0.034784,296,0.000055,0,143,0,0
1080859130871644160,,,0,4,4,0,7,7,1,1,1,0,0,0.032208,296,0.000055,0,146,0,0
1105414883758231552,,,0,1,1,0,2,2,1,1,1,0,0,0.00225,296,0.000055,0,147,0,0
1115255800497430528,,,0,1,1,0,1,1,1,1,1,0,0,0.00225,296,0.000055,0,148,0,0
1135714176,,,0,3,3,0,4,4,1,1,1,0,0,0.004514,296,0.000055,0,149,0,0
1136348206785290240,,,0,7,7,0,11,11,1,1,1,0,0,0.065173,296,0.000055,0,153,0,0
1136733194965979136,,,0,4,4,0,4,4,1,1,1,0,0,0.021019,296,0.000055,0,156,0,0
1145997679,,,0,1,1,0,1,1,1,1,1,0,0,0.00225,296,0.000055,0,157,0,0
1158834642373566470,,,0,1,1,0,1,1,1,1,1,0,0,0.00225,296,0.000055,0,158,0,0
1161629556186505217,,,0,1,1,0,1,1,1,1,1,0,0,0.00225,296,0.000055,0,159,0,0
1176206275757125633,,,0,3,3,0,3,3,1,1,1,0,0,0.010827,296,0.000055,0,160,0,0
1176740576328376321,,,0,2,2,0,2,2,1,1,1,0,0,0.002463,296,0.000055,0,162,0,0
1176948948365447170,,,0,2,2,0,2,2,1,1,1,0,0,0.002254,296,0.000055,0,164,0,0
1189578056,,,0,1,1,0,1,1,1,1,1,0,0,0.00225,296,0.000055,0,165,0,0
1204713114865934336,,,0,1,1,0,1,1,1,1,1,0,0,0.00225,296,0.000055,0,166,0,0
1212844360200359936,,,0,5,5,0,6,6,1,1,1,0,0,0.00233,296,0.000055,0,171,0,0
1227528880359079936,,,0,1,1,0,1,1,1,1,1,0,0,0.00225,296,0.000055,0,172,0,0
1259058000519671809,,,0,1,1,0,2,2,1,1,1,0,0,0.00225,296,0.000055,0,173,0,0
1269056711769366529,,,0,1,1,0,1,1,1,1,1,0,0,0.00225,296,0.000055,0,174,0,0
1281398726305742849,,,0,4,4,0,4,4,1,1,1,0,0,0.011387,296,0.000055,0,175,0,0
1281880519693742080,,,0,3,3,0,4,4,1,1,1,0,0,0.005273,296,0.000055,0,177,0,0
1302697044486828032,,,0,9,9,0,13,13,1,1,1,0,0,0.035617,296,0.000055,0,183,0,0
