"Target","Source","n","Weight"
"","353520385",5,5
"","893367448703041536",1,1
"_bundestagswahl","43321709",1,1
"_bundestagswahl","556948074",1,1
"_bundestagswahl","737894894040154115",1,1
"_gabrieladark_","148665606",1,1
"_jasper___","2308497461",1,1
"_jasper___","258081766",1,1
"_jasper___","2600314285",1,1
"_jasper___","2867798695",1,1
"_jasper___","817842489814118401",1,1
"_jennyger_","302750390",1,1
"_julian_neu","827235197645180929",1,1
"_piroska","2964761297",1,1
"_piroska","3176482114",1,1
"_piroska","4728055179",1,1
"_piroska","4925431415",1,1
"_r_sa","247964735",1,1
"_rmrf","62461294",1,1
"_solsken","124169534",1,1
"_solsken","44119754",1,1
"_solsken","581163439",1,1
"_solsken","739003512890228736",1,1
"_solsken","796816093",1,1
"_takakun","116195737",1,1
"_takakun","126724920",1,1
"_takakun","14623982",1,1
"_takakun","194632019",1,1
"_takakun","2360790613",1,1
"_takakun","464802334",1,1
"_takakun","52016801",1,1
"_takakun","63420446",1,1
"_takakun","77241851",1,1
"_takakun","91159197",1,1
"0930uhr","259638173",1,1
"100promensch","710812679695417344",1,1
"100promensch","908691835492732930",1,1
"145hanne","895743256159551488",1,1
"1968stku","2428778033",2,2
"1968stku","2983919681",1,1
"1968stku","600328761",1,1
"3mausimhaus","2849855884",1,1
"451_grad","1453575974",1,1
"451_grad","2561586612",1,1
"451_grad","3018934037",1,1
"451_grad","871293586633109504",1,1
"5y5t3m_3rr0r","98197154",1,1
"84_littlestar","2937018957",1,1
"89stadt ""je höher das haus, desto #spd-näher die bewohner""","353520385",1,1
"a_gellinek","1203370304",1,1
"a_gellinek","127196685",1,1
"a_gellinek","1619798160",1,1
"a_gellinek","1674444175",1,1
"a_gellinek","2546217104",1,1
"a_gellinek","340359670",1,1
"a_gellinek","359933095",1,1
"a_gellinek","473725876",1,1
"a_gellinek","713492087346429952",1,1
"a_gellinek","741355089286299649",1,1
"a_gellinek","796816093",1,1
"a_gellinek","805337124090343424",1,1
"a_nicht_nichta","4228788018",1,1
"a_ozkok","2148203163",1,1
"a_ozkok","3021258574",1,1
"a_ozkok","3373146857",1,1
"a_ozkok","712998150374572032",1,1
"aangelo_ge","1263990463",2,2
"aangelo_ge","2997491712",1,1
"aangelo_ge","300390038",1,1
"aangelo_ge","884887711374508033",1,1
"aangelo_ge","885838581524201472",1,1
"aaronk8080","130176022",1,1
"aaronk8080","4802702181",1,1
"abeitat","3079905646",1,1
"abeitat","504648110",1,1
"abususu","4150398381",1,1
"acepoint","112402957",1,1
"acepoint","1299295909",1,1
"acepoint","14623982",1,1
"acepoint","1894746782",1,1
"acepoint","20036281",1,1
"acepoint","2194717111",1,1
"acepoint","22914851",1,1
"acepoint","382284766",1,1
"acepoint","420997269",1,1
"acepoint","495880776",1,1
"acepoint","541586897",1,1
"acepoint","554503134",1,1
"acepoint","59725927",1,1
"acepoint","72013669",1,1
"acepoint","7267142",1,1
"acepoint","780051839093989378",1,1
"acepoint","848466096613097473",1,1
"acepoint","93516189",1,1
"achim_p","235141916",1,1
"achim_p","3309826265",1,1
"achwendler","146004953",1,1
"achwendler","155568265",1,1
"achwendler","1580457704",1,1
"achwendler","1657838576",1,1
"achwendler","1681587410",1,1
"achwendler","1695899808",1,1
