"Target","Source","n","Weight"
"","893367448703041536",1,1
"_bk_says","1271009885732339719",1,1
"_drbunsen_","256530790",1,1
"_friedrichmerz","1212844360200359936",1,1
"_friedrichmerz","1227528880359079936",1,1
"_friedrichmerz","3119096980",1,1
"_friedrichmerz","3854466209",1,1
"_friedrichmerz","752940202985922560",1,1
"_klimanotstand_","112526774",1,1
"_klimanotstand_","1142210837928652810",1,1
"_klimanotstand_","1147221536077754368",1,1
"_klimanotstand_","1216011788870934528",1,1
"_klimanotstand_","1241349540659281920",1,1
"_klimanotstand_","1277617463400828928",1,1
"_klimanotstand_","1326251856457293824",1,1
"_klimanotstand_","1336235503742570497",1,1
"_klimanotstand_","1359483265246244865",1,1
"_klimanotstand_","1365997566282858497",1,1
"_klimanotstand_","1408023530",1,1
"_klimanotstand_","1426216202351882243",1,1
"_klimanotstand_","269414124",1,1
"_klimanotstand_","292330204",1,1
"_klimanotstand_","412365284",1,1
"_klimanotstand_","50431996",1,1
"_klimanotstand_","521356575",2,2
"_klimanotstand_","64666298",3,3
"_klimanotstand_","706138485",2,2
"_klimanotstand_","77998228",1,1
"_klimanotstand_","918097898570731520",1,1
"_klimanotstand_","921347171923963904",2,2
"_klimanotstand_","922470541956612100",1,1
"_lautes_denken","1012745100508717056",1,1
"_lautes_denken","1054668909452935170",1,1
"_lautes_denken","1078912669",1,1
"_lautes_denken","1093154142632267777",1,1
"_lautes_denken","1116055429333778432",1,1
"_lautes_denken","1149428198725378048",1,1
"_lautes_denken","1153187719",1,1
"_lautes_denken","1164550330107006976",1,1
"_lautes_denken","1169294924812079104",1,1
"_lautes_denken","1206460269435723776",1,1
"_lautes_denken","1226236325826830337",1,1
"_lautes_denken","1250561604938334210",1,1
"_lautes_denken","1254406599956971521",1,1
"_lautes_denken","1264574587536314369",1,1
"_lautes_denken","1331987231570079744",1,1
"_lautes_denken","1346578941692289025",1,1
"_lautes_denken","1352526660697001985",1,1
"_lautes_denken","1367988781",1,1
"_lautes_denken","1375200311485272064",1,1
"_lautes_denken","1386483492",1,1
"_lautes_denken","1388402467021500416",1,1
"_lautes_denken","1388907443841818626",1,1
"_lautes_denken","1430954057913470979",1,1
"_lautes_denken","18366199",1,1
"_lautes_denken","1921143835",1,1
"_lautes_denken","2331458721",1,1
"_lautes_denken","243119970",1,1
"_lautes_denken","2527125529",1,1
"_lautes_denken","2623765905",1,1
"_lautes_denken","2676799425",1,1
"_lautes_denken","2746463237",1,1
"_lautes_denken","2781410044",1,1
"_lautes_denken","286016105",1,1
"_lautes_denken","2863981125",1,1
"_lautes_denken","2893322937",1,1
"_lautes_denken","3039483418",1,1
"_lautes_denken","309676715",1,1
"_lautes_denken","32342492",1,1
"_lautes_denken","324979448",1,1
"_lautes_denken","3311754689",1,1
"_lautes_denken","3412839573",1,1
"_lautes_denken","412268444",1,1
"_lautes_denken","533029214",1,1
"_lautes_denken","612644392",1,1
"_lautes_denken","710650064620883968",1,1
"_lautes_denken","724526379073691648",1,1
"_lautes_denken","726157470461218816",1,1
"_lautes_denken","782498645480468480",1,1
"_lautes_denken","786263394492047360",1,1
"_lautes_denken","835784660403773440",1,1
"_lautes_denken","839519268500828160",1,1
